parameter cap(i_j_t_s)
1.1.45.80 99999.000000
1.1.66.80 99999.000000
1.2.45.51 10.000000
1.2.66.72 10.000000
1.3.1.5 10.000000
1.3.7.11 10.000000
10.10.53.80 99999.000000
10.10.61.80 99999.000000
10.15.55.61 10.000000
10.15.65.71 10.000000
11.15.14.20 10.000000
11.3.37.44 10.000000
11.3.42.49 10.000000
11.3.53.60 10.000000
11.53.12.13 99999.000000
12.13.11.14 10.000000
12.13.17.20 10.000000
12.13.50.53 10.000000
12.13.6.9 10.000000
12.3.35.39 10.000000
12.57.15.16 99999.000000
12.57.4.5 99999.000000
12.57.9.10 99999.000000
13.12.1.4 10.000000
13.12.32.35 10.000000
13.13.53.80 99999.000000
13.24.14.18 10.000000
13.24.20.24 10.000000
13.24.9.13 10.000000
15.10.55.61 10.000000
15.11.31.37 10.000000
15.11.36.42 10.000000
15.11.47.53 10.000000
15.22.20.23 10.000000
15.22.47.50 10.000000
15.22.61.64 10.000000
15.22.71.74 10.000000
16.17.16.18 10.000000
16.17.38.40 10.000000
16.17.40.42 10.000000
16.8.14.19 10.000000
17.19.18.20 10.000000
17.19.40.42 10.000000
17.19.42.44 10.000000
18.16.11.14 10.000000
18.63.5.6 99999.000000
19.15.33.36 10.000000
19.15.44.47 10.000000
19.42.20.21 99999.000000
19.65.31.32 99999.000000
19.65.42.43 99999.000000
2.1.1.7 10.000000
2.2.51.80 99999.000000
2.2.72.80 99999.000000
2.6.1.6 10.000000
20.18.1.5 10.000000
21.23.68.73 10.000000
21.24.78.81 10.000000
21.32.66.67 99999.000000
21.32.76.77 99999.000000
22.15.28.31 10.000000
22.15.52.55 10.000000
22.20.77.82 10.000000
22.21.64.66 10.000000
22.21.74.76 10.000000
22.46.50.51 99999.000000
22.54.23.24 99999.000000
22.73.26.27 99999.000000
23.22.73.77 10.000000
24.13.28.32 10.000000
24.13.81.85 10.000000
24.58.13.14 99999.000000
24.58.18.19 99999.000000
24.58.24.25 99999.000000
24.81.26.27 99999.000000
3.1.41.45 10.000000
3.1.62.66 10.000000
3.11.5.12 10.000000
3.12.11.15 10.000000
3.12.46.50 10.000000
3.12.5.9 10.000000
3.4.41.45 10.000000
3.4.51.55 10.000000
3.66.49.50 99999.000000
3.66.60.61 99999.000000
3.74.44.45 99999.000000
3.82.39.40 99999.000000
31.4.46.47 99999.000000
31.4.56.57 99999.000000
32.21.67.68 99999.000000
32.21.77.78 99999.000000
4.10.45.53 10.000000
4.10.47.55 10.000000
4.10.57.65 10.000000
4.31.45.46 99999.000000
4.31.55.56 99999.000000
41.41.9.10 99999.000000
41.8.10.11 99999.000000
42.19.30.31 99999.000000
42.42.21.30 99999.000000
45.8.34.35 99999.000000
46.22.51.52 99999.000000
53.11.13.14 99999.000000
54.22.25.26 99999.000000
54.54.24.25 99999.000000
57.12.10.11 99999.000000
57.12.16.17 99999.000000
57.12.5.6 99999.000000
58.24.25.26 99999.000000
58.58.14.25 99999.000000
58.58.19.25 99999.000000
6.64.21.22 99999.000000
6.8.31.33 10.000000
6.8.6.8 10.000000
63.18.10.11 99999.000000
63.63.6.10 99999.000000
64.6.30.31 99999.000000
64.64.22.30 99999.000000
65.19.32.33 99999.000000
65.19.43.44 99999.000000
66.3.50.51 99999.000000
66.3.61.62 99999.000000
73.22.27.28 99999.000000
74.3.45.46 99999.000000
8.16.11.16 10.000000
8.16.33.38 10.000000
8.16.35.40 10.000000
8.41.8.9 99999.000000
8.45.33.34 99999.000000
8.6.19.21 10.000000
81.24.27.28 99999.000000
82.3.40.41 99999.000000
