Internal_veh_ID,Vehicle ID,path_No, path_node_seq,path_time_sequence, path_node_state_sequence,path_link_sequence, path_cost, served passengers
1,1,4,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
2,2,4,1;3;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;4;31;4;10;15;22;21;32;21;23;22;20;,1;5;9;10;11;14;18;19;25;26;27;28;32;35;39;40;41;45;46;47;55;61;64;66;67;68;73;77;82;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2];,1;6;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;5;120;121;78;27;45;68;122;123;83;71;67;,18.00;,[4][17][29]
3,3,4,1;3;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;4;10;10;,1;5;9;10;11;14;18;19;25;26;27;28;32;35;39;40;41;45;53;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,1;6;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;5;78;-1;,22.50;,[17][29]
4,4,4,2;6;8;41;41;8;16;17;19;42;42;19;65;19;15;11;3;66;3;4;31;4;10;15;22;21;32;21;24;13;,1;6;8;9;10;11;16;18;20;21;30;31;32;33;36;42;49;50;51;55;56;57;65;71;74;76;77;78;81;85;, ; ; ; _9[1]; _9[1]; _9[1]; _9[1]; _9[1]; _9[1]; _9[2]; _9[2]; _9[2]; _9[2]_21[1]; _9[2]_21[1]; _9[2]_21[1]; _9[2]_21[1]; _9[2]_21[1]; _9[2]_21[2]; _9[2]_21[2]; _9[2]_21[2]; _4[1]_9[2]_21[2]; _4[1]_9[2]_21[2]; _4[1]_9[2]_21[2]; _4[1]_9[2]_21[2]; _4[1]_9[2]_21[2]; _4[1]_9[2]_21[2]; _4[2]_9[2]_21[2]; _4[2]_9[2]_21[2]; _4[2]_9[2]_21[2]; _4[2]_9[2]_21[2];,3;15;140;-1;141;21;48;52;142;-1;143;188;189;56;81;77;190;191;5;120;121;78;27;45;68;122;123;65;73;,19.00;,[4][9][21]
5,5,4,2;1;3;12;57;12;13;24;58;24;81;24;13;12;3;82;3;4;31;4;10;15;22;21;32;21;23;22;20;,1;7;11;15;16;17;20;24;25;26;27;28;32;35;39;40;41;45;46;47;55;61;64;66;67;68;73;77;82;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[1]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2]; _4[2]_17[2]_29[2];,2;1;6;172;173;36;38;174;175;220;221;73;37;34;222;223;5;120;121;78;27;45;68;122;123;83;71;67;,21.00;,[4][17][29]
6,6,4,2;1;3;12;57;12;13;24;58;24;81;24;13;12;3;82;3;4;10;10;,1;7;11;15;16;17;20;24;25;26;27;28;32;35;39;40;41;45;53;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,2;1;6;172;173;36;38;174;175;220;221;73;37;34;222;223;5;78;-1;,25.50;,[17][29]
7,7,4,13;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;1;1;,1;4;5;6;9;13;14;25;26;27;28;32;35;39;40;41;45;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,37;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;4;-1;,16.00;,[17][29]
8,8,4,13;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;1;2;2;,1;4;5;6;9;13;14;25;26;27;28;32;35;39;40;41;45;51;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,37;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;4;0;-1;,19.00;,[17][29]
9,9,4,13;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;4;10;10;,1;4;5;6;9;13;14;25;26;27;28;32;35;39;40;41;45;53;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,37;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;5;78;-1;,20.00;,[17][29]
10,10,4,20;18;63;63;18;16;8;6;64;64;6;8;16;17;19;65;19;15;11;3;66;3;1;1;,1;5;6;10;11;14;19;21;22;30;31;33;38;40;42;43;44;47;53;60;61;62;66;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _20[2]; _20[2]; _20[2]; _20[2]_21[1]; _20[2]_21[1]; _20[2]_21[1]; _20[2]_21[1]; _20[2]_21[1]; _20[2]_21[2]; _20[2]_21[2]; _20[2]_21[2]; _20[2]_21[2];,59;184;-1;185;54;46;18;186;-1;187;15;21;48;52;188;189;56;81;77;190;191;4;-1;,26.00;,[20][21]
