parameter c(v_k)
1.0 0.00
1.1 36.00
2.0 0.00
2.1 34.00
3.0 0.00
3.1 35.50
4.0 0.00
4.1 37.00
5.0 0.00
5.1 31.50
6.0 0.00
6.1 37.00
7.0 0.00
7.1 31.00
8.0 0.00
8.1 37.00
9.0 0.00
9.1 34.00
10.0 0.00
10.1 33.50
11.0 0.00
11.1 31.00
12.0 0.00
12.1 38.00
13.0 0.00
13.1 36.50
14.0 0.00
14.1 34.50
15.0 0.00
15.1 35.00
16.0 0.00
16.1 37.00
17.0 0.00
17.1 37.00
18.0 0.00
18.1 41.00
19.0 0.00
19.1 33.00
20.0 0.00
20.1 37.00
21.0 0.00
21.1 38.00
22.0 0.00
22.1 34.00
23.0 0.00
23.1 31.50
24.0 0.00
24.1 41.00
25.0 0.00
25.1 38.50
26.0 0.00
26.1 37.00
27.0 0.00
27.1 43.50
28.0 0.00
28.1 47.50
29.0 0.00
29.1 41.50
30.0 0.00
30.1 37.00
