parameter delta(v_k_p)
1.4.15 1
1.4.25 1
2.4.4 1
2.4.17 1
2.4.29 1
3.4.17 1
3.4.29 1
4.4.4 1
4.4.9 1
4.4.21 1
5.4.4 1
5.4.17 1
5.4.29 1
6.4.17 1
6.4.29 1
7.4.17 1
7.4.29 1
8.4.17 1
8.4.29 1
9.4.17 1
9.4.29 1
10.4.20 1
10.4.21 1
11.4.20 1
11.4.21 1
12.4.11 1
12.4.20 1
13.4.15 1
13.4.25 1
14.4.4 1
14.4.17 1
14.4.29 1
15.4.4 1
15.4.17 1
15.4.29 1
16.4.4 1
16.4.9 1
16.4.21 1
17.4.4 1
17.4.17 1
17.4.29 1
18.4.17 1
18.4.29 1
19.4.17 1
19.4.29 1
20.4.17 1
20.4.29 1
21.4.17 1
21.4.29 1
22.4.20 1
22.4.21 1
23.4.20 1
23.4.21 1
24.4.11 1
24.4.20 1
25.4.15 1
25.4.25 1
26.4.4 1
26.4.17 1
26.4.29 1
27.4.17 1
27.4.29 1
28.4.20 1
28.4.21 1
29.4.15 1
29.4.25 1
30.4.4 1
30.4.17 1
30.4.29 1
