parameter beta(v_k_i_j_t_s)
1.4.1.3.1.5 1
1.4.3.11.5.12 1
1.4.11.53.12.13 1
1.4.53.11.13.14 1
1.4.11.15.14.20 1
1.4.15.22.20.23 1
1.4.22.54.23.24 1
1.4.54.54.24.25 1
1.4.54.22.25.26 1
1.4.22.73.26.27 1
1.4.73.22.27.28 1
1.4.22.15.28.31 1
1.4.15.11.31.37 1
1.4.11.3.37.44 1
1.4.3.74.44.45 1
1.4.74.3.45.46 1
1.4.3.12.46.50 1
1.4.12.13.50.53 1
1.4.13.13.53.80 1
2.4.1.3.1.5 1
2.4.3.12.5.9 1
2.4.12.57.9.10 1
2.4.57.12.10.11 1
2.4.12.13.11.14 1
2.4.13.24.14.18 1
2.4.24.58.18.19 1
2.4.58.58.19.25 1
2.4.58.24.25.26 1
2.4.24.81.26.27 1
2.4.81.24.27.28 1
2.4.24.13.28.32 1
2.4.13.12.32.35 1
2.4.12.3.35.39 1
2.4.3.82.39.40 1
2.4.82.3.40.41 1
2.4.3.4.41.45 1
2.4.4.31.45.46 1
2.4.31.4.46.47 1
2.4.4.10.47.55 1
2.4.10.15.55.61 1
2.4.15.22.61.64 1
2.4.22.21.64.66 1
2.4.21.32.66.67 1
2.4.32.21.67.68 1
2.4.21.23.68.73 1
2.4.23.22.73.77 1
2.4.22.20.77.82 1
3.4.1.3.1.5 1
3.4.3.12.5.9 1
3.4.12.57.9.10 1
3.4.57.12.10.11 1
3.4.12.13.11.14 1
3.4.13.24.14.18 1
3.4.24.58.18.19 1
3.4.58.58.19.25 1
3.4.58.24.25.26 1
3.4.24.81.26.27 1
3.4.81.24.27.28 1
3.4.24.13.28.32 1
3.4.13.12.32.35 1
3.4.12.3.35.39 1
3.4.3.82.39.40 1
3.4.82.3.40.41 1
3.4.3.4.41.45 1
3.4.4.10.45.53 1
3.4.10.10.53.80 1
4.4.2.6.1.6 1
4.4.6.8.6.8 1
4.4.8.41.8.9 1
4.4.41.41.9.10 1
4.4.41.8.10.11 1
4.4.8.16.11.16 1
4.4.16.17.16.18 1
4.4.17.19.18.20 1
4.4.19.42.20.21 1
4.4.42.42.21.30 1
4.4.42.19.30.31 1
4.4.19.65.31.32 1
4.4.65.19.32.33 1
4.4.19.15.33.36 1
4.4.15.11.36.42 1
4.4.11.3.42.49 1
4.4.3.66.49.50 1
