agent_id,agent_type,tree_agent_id,from_node_id,to_node_id,departure_time_start,departure_time_window,arrival_time_start,arrival_time_window,capacity,base_profit,VOIVTT_per_hour,VOWT_per_hour
1,0,,3,17,5,20,20,20,,20,,
2,0,,3,18,5,20,20,20,,20,,
3,0,,4,19,5,20,20,20,,20,,
4,0,,4,21,40,20,55,20,,20,,
5,0,,5,22,40,20,55,20,,20,,
6,0,,5,22,40,20,55,20,,20,,
7,0,,6,24,5,20,20,20,,20,,
8,0,,6,18,10,20,25,20,,20,,
9,0,,8,19,10,20,25,20,,20,,
10,0,,8,21,10,20,25,20,,20,,
11,0,,8,22,20,20,40,20,,20,,
12,0,,8,23,20,20,40,20,,20,,
13,0,,9,21,20,20,40,20,,20,,
14,0,,9,21,5,20,20,20,,20,,
15,0,,11,22,5,20,20,20,,20,,
16,0,,11,23,5,20,20,20,,20,,
17,0,,12,24,5,20,20,20,,20,,
18,0,,12,24,10,20,25,20,,20,,
19,0,,18,3,10,20,25,20,,20,,
20,0,,18,6,10,20,25,20,,20,,
21,0,,19,3,30,20,45,20,,20,,
22,0,,19,6,30,20,45,20,,20,,
23,0,,21,3,30,20,45,20,,20,,
24,0,,21,6,30,20,45,20,,20,,
25,0,,22,3,10,20,25,20,,20,,
26,0,,22,6,5,20,20,20,,20,,
27,0,,23,3,5,20,20,20,,20,,
28,0,,23,6,5,20,20,20,,20,,
29,0,,24,3,20,20,35,20,,20,,
30,0,,24,6,20,20,35,20,,20,,
1,1,-100,1,13,1,0,75,20,1,,,
2,1,-100,1,20,1,0,75,20,1,,,
3,1,-100,1,10,1,0,75,20,1,,,
4,1,-100,2,13,1,0,75,20,1,,,
5,1,-100,2,20,1,0,75,20,1,,,
6,1,-100,2,10,1,0,75,20,1,,,
7,1,-100,13,1,1,0,75,20,1,,,
8,1,-100,13,2,1,0,75,20,1,,,
9,1,-100,13,10,1,0,75,20,1,,,
10,1,-100,20,1,1,0,75,20,1,,,
11,1,-100,20,2,1,0,75,20,1,,,
12,1,-100,20,10,1,0,75,20,1,,,
13,1,-100,1,13,1,0,75,20,1,,,
14,1,-100,1,20,1,0,75,20,1,,,
15,1,-100,1,20,1,0,75,20,1,,,
16,1,-100,2,13,1,0,75,20,1,,,
17,1,-100,2,20,1,0,75,20,1,,,
18,1,-100,2,10,1,0,75,20,1,,,
19,1,-100,13,1,1,0,75,20,1,,,
20,1,-100,13,2,1,0,75,20,1,,,
21,1,-100,13,10,1,0,75,20,1,,,
22,1,-100,20,1,1,0,75,20,1,,,
23,1,-100,20,2,1,0,75,20,1,,,
24,1,-100,20,10,1,0,75,20,1,,,
25,1,-100,1,13,1,0,75,20,1,,,
26,1,-100,2,20,1,0,75,20,1,,,
27,1,-100,13,1,1,0,75,20,1,,,
28,1,-100,20,2,1,0,75,20,1,,,
29,1,-100,1,13,1,0,75,20,1,,,
30,1,-100,2,20,1,0,75,20,1,,,
