parameter cap(i_j_t_s)
1.1.30.80 99999.000000
1.1.35.80 99999.000000
1.1.45.80 99999.000000
1.1.55.80 99999.000000
1.1.70.80 99999.000000
1.2.1.7 1.000000
1.2.37.43 1.000000
1.2.52.58 1.000000
1.3.1.5 10.000000
10.10.34.80 99999.000000
10.10.38.80 99999.000000
10.10.41.80 99999.000000
10.10.55.80 99999.000000
10.10.62.80 99999.000000
10.10.63.80 99999.000000
10.10.72.80 99999.000000
10.11.19.24 1.000000
10.15.21.27 1.000000
10.15.49.55 1.000000
10.15.50.56 1.000000
10.15.51.57 1.000000
10.16.19.23 1.000000
10.16.20.24 1.000000
10.9.13.16 1.000000
11.11.15.16 1000.000000
11.11.16.17 1000.000000
11.15.14.20 1.000000
11.15.15.21 1.000000
11.15.17.23 1.000000
11.3.20.27 1.000000
11.3.24.31 1.000000
11.3.40.47 1.000000
11.53.12.13 99999.000000
11.55.13.14 99999.000000
12.13.11.14 1.000000
12.13.6.9 1.000000
12.3.19.23 1.000000
12.3.28.32 1.000000
12.3.43.47 1.000000
12.3.44.48 1.000000
12.57.4.5 99999.000000
12.59.9.10 99999.000000
13.12.1.4 1.000000
13.12.16.19 1.000000
13.12.25.28 1.000000
13.12.40.43 1.000000
13.12.41.44 1.000000
13.13.35.80 99999.000000
13.13.36.80 99999.000000
13.13.38.80 99999.000000
13.13.39.80 99999.000000
13.13.48.80 99999.000000
13.13.70.80 99999.000000
13.24.1.5 10.000000
13.24.14.18 10.000000
13.24.9.13 10.000000
15.10.35.41 1.000000
15.10.49.55 1.000000
15.10.66.72 1.000000
15.11.14.20 1.000000
15.11.34.40 1.000000
15.19.11.14 1.000000
15.19.21.24 1.000000
15.19.43.46 1.000000
15.22.20.23 1.000000
15.22.22.25 1.000000
15.22.23.26 1.000000
15.22.25.28 1.000000
15.22.27.30 1.000000
15.22.33.36 1.000000
15.22.35.38 1.000000
15.22.36.39 1.000000
15.22.47.50 1.000000
15.22.55.58 1.000000
15.22.56.59 1.000000
15.22.57.60 1.000000
16.10.15.19 1.000000
16.10.30.34 1.000000
16.10.34.38 1.000000
16.10.58.62 1.000000
16.10.9.13 1.000000
16.17.15.17 1.000000
16.17.16.18 1.000000
16.17.18.20 1.000000
16.17.19.21 1.000000
16.17.24.26 1.000000
16.17.26.28 1.000000
16.17.28.30 1.000000
16.17.40.42 1.000000
16.18.21.24 1.000000
16.18.23.26 1.000000
16.8.14.19 1.000000
16.8.18.23 1.000000
16.8.35.40 1.000000
16.8.50.55 1.000000
16.8.8.13 1.000000
17.16.16.18 1.000000
17.16.28.30 1.000000
17.16.33.35 1.000000
17.16.48.50 1.000000
17.19.17.19 1.000000
17.19.18.20 1.000000
17.19.20.22 1.000000
17.19.21.23 1.000000
17.19.26.28 1.000000
17.19.28.30 1.000000
17.19.30.32 1.000000
17.19.42.44 1.000000
17.26.26.27 99999.000000
18.16.11.14 1.000000
18.16.12.15 1.000000
18.16.5.8 1.000000
18.16.6.9 1.000000
18.18.11.12 1000.000000
18.18.5.6 1000.000000
18.20.28.32 1.000000
18.20.31.35 1.000000
18.28.26.27 99999.000000
18.40.24.25 99999.000000
18.61.5.6 99999.000000
18.63.5.6 99999.000000
18.7.22.24 1.000000
18.7.36.38 1.000000
19.15.19.22 1.000000
19.15.22.25 1.000000
19.15.30.33 1.000000
19.15.31.34 1.000000
19.15.32.35 1.000000
19.15.33.36 1.000000
19.15.44.47 1.000000
19.17.14.16 1.000000
19.17.24.26 1.000000
19.17.31.33 1.000000
19.17.46.48 1.000000
19.19.30.31 1000.000000
19.19.31.32 1000.000000
19.19.32.33 1000.000000
19.20.31.35 1.000000
19.30.28.29 99999.000000
19.42.20.21 99999.000000
19.65.5.6 99999.000000
19.67.23.24 99999.000000
2.1.64.70 1.000000
2.2.36.80 99999.000000
2.2.37.80 99999.000000
2.2.43.80 99999.000000
2.2.50.80 99999.000000
2.2.58.80 99999.000000
2.6.1.6 10.000000
2.6.7.12 10.000000
20.18.1.5 10.000000
20.18.18.22 10.000000
20.18.32.36 10.000000
20.19.1.5 1.000000
20.20.32.80 99999.000000
20.20.35.80 99999.000000
20.20.42.80 99999.000000
20.20.55.80 99999.000000
20.20.66.80 99999.000000
20.20.67.80 99999.000000
20.22.1.6 1.000000
21.21.31.32 1000.000000
21.21.32.33 1000.000000
21.23.31.36 1.000000
21.24.27.30 1.000000
21.24.28.31 1.000000
21.24.32.35 1.000000
21.24.33.36 1.000000
21.24.34.37 1.000000
21.24.41.44 1.000000
21.24.52.55 1.000000
21.24.63.66 1.000000
21.32.61.62 99999.000000
21.44.30.31 99999.000000
21.52.32.33 99999.000000
21.69.8.9 99999.000000
21.71.9.10 99999.000000
22.15.11.14 1.000000
22.15.32.35 1.000000
22.15.40.43 1.000000
22.15.46.49 1.000000
22.15.63.66 1.000000
22.15.8.11 1.000000
22.20.13.18 1.000000
22.20.27.32 1.000000
22.20.37.42 1.000000
22.20.50.55 1.000000
22.20.61.66 1.000000
22.20.62.67 1.000000
22.21.25.27 1.000000
22.21.26.28 1.000000
22.21.28.30 1.000000
22.21.30.32 1.000000
22.21.39.41 1.000000
22.21.50.52 1.000000
22.21.59.61 1.000000
22.23.26.30 1.000000
22.23.38.42 1.000000
22.34.58.59 99999.000000
22.36.60.61 99999.000000
22.46.36.37 99999.000000
22.54.23.24 99999.000000
22.73.6.7 99999.000000
22.75.6.7 99999.000000
23.22.23.27 1.000000
23.22.28.32 1.000000
23.22.33.37 1.000000
23.22.36.40 1.000000
23.22.46.50 1.000000
23.22.59.63 1.000000
23.22.9.13 1.000000
23.24.10.12 1.000000
23.24.32.34 1.000000
23.48.42.43 99999.000000
23.56.30.31 99999.000000
23.77.8.9 99999.000000
23.79.7.8 99999.000000
24.13.12.16 1.000000
24.13.21.25 1.000000
24.13.31.35 1.000000
24.13.32.36 1.000000
24.13.34.38 1.000000
24.13.35.39 1.000000
24.13.36.40 1.000000
24.13.37.41 1.000000
24.13.44.48 1.000000
24.13.66.70 1.000000
24.21.5.8 1.000000
24.21.6.9 1.000000
24.23.21.23 1.000000
24.23.26.28 1.000000
24.23.31.33 1.000000
24.23.5.7 1.000000
24.23.57.59 1.000000
24.23.6.8 1.000000
24.24.5.6 1000.000000
24.38.30.31 99999.000000
24.50.55.56 99999.000000
24.58.13.14 99999.000000
24.60.18.19 99999.000000
24.81.5.6 99999.000000
24.83.5.6 99999.000000
25.3.6.7 99999.000000
26.17.27.28 99999.000000
27.3.6.7 99999.000000
28.18.27.28 99999.000000
29.4.10.11 99999.000000
3.1.26.30 1.000000
3.1.31.35 1.000000
3.1.33.37 1.000000
3.1.41.45 1.000000
3.1.48.52 1.000000
3.1.51.55 1.000000
3.11.5.12 1.000000
3.11.6.13 1.000000
3.11.8.15 1.000000
3.12.5.9 1.000000
3.25.5.6 99999.000000
3.27.5.6 99999.000000
3.3.5.6 1000.000000
3.3.7.8 1000.000000
3.4.5.9 1.000000
3.4.51.55 1.000000
3.4.6.10 1.000000
3.4.7.11 1.000000
3.62.31.32 99999.000000
3.66.47.48 99999.000000
3.70.47.48 99999.000000
3.74.27.28 99999.000000
3.78.23.24 99999.000000
3.82.32.33 99999.000000
30.19.29.30 99999.000000
31.31.11.40 99999.000000
31.4.40.41 99999.000000
32.21.62.63 99999.000000
33.33.11.40 99999.000000
33.5.40.41 99999.000000
34.22.60.61 99999.000000
34.34.59.60 99999.000000
35.35.12.40 99999.000000
35.5.40.41 99999.000000
36.22.61.62 99999.000000
37.6.7.8 99999.000000
38.24.31.32 99999.000000
39.6.13.14 99999.000000
4.10.11.19 1.000000
4.10.12.20 1.000000
4.10.42.50 1.000000
4.10.55.63 1.000000
4.29.9.10 99999.000000
4.31.10.11 99999.000000
4.4.11.12 1000.000000
4.4.41.42 1000.000000
40.18.30.31 99999.000000
40.40.25.30 99999.000000
41.41.9.10 99999.000000
41.8.10.11 99999.000000
42.19.30.31 99999.000000
42.42.21.30 99999.000000
43.8.12.13 99999.000000
44.21.31.32 99999.000000
45.45.10.20 99999.000000
45.8.20.21 99999.000000
46.22.45.46 99999.000000
46.46.37.45 99999.000000
47.47.13.20 99999.000000
47.8.20.21 99999.000000
48.23.45.46 99999.000000
48.48.43.45 99999.000000
49.9.24.25 99999.000000
5.33.10.11 99999.000000
5.35.11.12 99999.000000
5.5.41.42 1000.000000
5.5.42.43 1000.000000
5.9.41.46 1.000000
5.9.43.48 1.000000
50.24.56.57 99999.000000
51.9.17.18 99999.000000
52.21.33.34 99999.000000
53.11.13.14 99999.000000
54.22.25.26 99999.000000
54.54.24.25 99999.000000
55.11.14.15 99999.000000
56.23.31.32 99999.000000
57.12.5.6 99999.000000
58.24.25.26 99999.000000
58.58.14.25 99999.000000
59.12.10.11 99999.000000
6.2.31.36 1.000000
6.2.32.37 1.000000
6.2.45.50 1.000000
6.2.59.64 1.000000
6.37.6.7 99999.000000
6.39.12.13 99999.000000
6.5.6.10 1.000000
6.5.7.11 1.000000
6.6.10.11 1000.000000
6.6.11.12 1000.000000
6.6.31.32 1000.000000
6.6.6.7 1000.000000
6.6.7.8 1000.000000
6.6.8.9 1000.000000
6.6.9.10 1000.000000
6.64.21.22 99999.000000
6.68.42.43 99999.000000
6.72.57.58 99999.000000
6.76.25.26 99999.000000
6.8.10.12 1.000000
6.8.12.14 1.000000
6.8.14.16 1.000000
6.8.27.29 1.000000
6.8.51.53 1.000000
6.8.6.8 1.000000
6.8.7.9 1.000000
6.8.8.10 1.000000
6.8.9.11 1.000000
60.24.30.31 99999.000000
60.60.19.30 99999.000000
61.18.10.11 99999.000000
61.61.6.10 99999.000000
62.3.32.33 99999.000000
63.18.10.11 99999.000000
63.63.6.10 99999.000000
64.6.30.31 99999.000000
64.64.22.30 99999.000000
65.19.30.31 99999.000000
65.65.6.30 99999.000000
66.3.50.51 99999.000000
66.66.48.50 99999.000000
67.19.30.31 99999.000000
67.67.24.30 99999.000000
68.6.50.51 99999.000000
68.68.43.50 99999.000000
69.21.30.31 99999.000000
69.69.9.30 99999.000000
7.80.24.30 1.000000
7.84.38.44 1.000000
70.3.50.51 99999.000000
70.70.48.50 99999.000000
71.21.30.31 99999.000000
71.71.10.30 99999.000000
72.6.58.59 99999.000000
73.22.10.11 99999.000000
73.73.7.10 99999.000000
74.3.30.31 99999.000000
74.74.28.30 99999.000000
75.22.7.8 99999.000000
76.6.26.27 99999.000000
77.23.9.10 99999.000000
78.3.25.26 99999.000000
78.78.24.25 99999.000000
79.23.8.9 99999.000000
8.16.10.15 1.000000
8.16.11.16 1.000000
8.16.13.18 1.000000
8.16.14.19 1.000000
8.16.16.21 1.000000
8.16.21.26 1.000000
8.16.23.28 1.000000
8.16.29.34 1.000000
8.16.35.40 1.000000
8.16.53.58 1.000000
8.41.8.9 99999.000000
8.43.11.12 99999.000000
8.45.9.10 99999.000000
8.47.12.13 99999.000000
8.6.19.21 1.000000
8.6.23.25 1.000000
8.6.40.42 1.000000
8.6.55.57 1.000000
8.8.21.22 1000.000000
8.8.22.23 1000.000000
8.9.13.23 1.000000
80.6.30.31 99999.000000
81.24.20.21 99999.000000
81.81.6.20 99999.000000
82.3.40.41 99999.000000
82.82.33.40 99999.000000
83.24.20.21 99999.000000
83.83.6.20 99999.000000
84.6.44.45 99999.000000
9.10.18.21 1.000000
9.10.46.49 1.000000
9.10.48.51 1.000000
9.49.23.24 99999.000000
9.51.16.17 99999.000000
9.8.25.35 1.000000
