parameter beta(v_k_i_j_t_s)
1.1.1.3.1.5 1
1.1.3.11.5.12 1
1.1.11.53.12.13 1
1.1.53.11.13.14 1
1.1.11.15.14.20 1
1.1.15.22.20.23 1
1.1.22.54.23.24 1
1.1.54.54.24.25 1
1.1.54.22.25.26 1
1.1.22.21.26.28 1
1.1.21.24.28.31 1
1.1.24.13.31.35 1
1.1.13.13.35.80 1
2.1.1.2.1.7 1
2.1.2.6.7.12 1
2.1.6.39.12.13 1
2.1.39.6.13.14 1
2.1.6.8.14.16 1
2.1.8.16.16.21 1
2.1.16.18.21.24 1
2.1.18.40.24.25 1
2.1.40.40.25.30 1
2.1.40.18.30.31 1
2.1.18.20.31.35 1
2.1.20.20.35.80 1
3.1.1.3.1.5 1
3.1.3.25.5.6 1
3.1.25.3.6.7 1
3.1.3.3.7.8 1
3.1.3.11.8.15 1
3.1.11.15.15.21 1
3.1.15.19.21.24 1
3.1.19.17.24.26 1
3.1.17.26.26.27 1
3.1.26.17.27.28 1
3.1.17.16.28.30 1
3.1.16.10.30.34 1
3.1.10.10.34.80 1
4.1.2.6.1.6 1
4.1.6.37.6.7 1
4.1.37.6.7.8 1
4.1.6.8.8.10 1
4.1.8.16.10.15 1
4.1.16.17.15.17 1
4.1.17.19.17.19 1
4.1.19.15.19.22 1
4.1.15.22.22.25 1
4.1.22.21.25.27 1
4.1.21.24.27.30 1
4.1.24.38.30.31 1
4.1.38.24.31.32 1
4.1.24.13.32.36 1
4.1.13.13.36.80 1
5.1.2.6.1.6 1
5.1.6.8.6.8 1
5.1.8.41.8.9 1
5.1.41.41.9.10 1
5.1.41.8.10.11 1
5.1.8.16.11.16 1
5.1.16.17.16.18 1
5.1.17.19.18.20 1
5.1.19.42.20.21 1
5.1.42.42.21.30 1
5.1.42.19.30.31 1
5.1.19.20.31.35 1
5.1.20.20.35.80 1
6.1.2.6.1.6 1
6.1.6.6.6.7 1
6.1.6.8.7.9 1
6.1.8.45.9.10 1
