parameter cap(i_j_t_s)
1.1.45.80 99999.000000
1.1.72.80 99999.000000
1.2.45.51 1.000000
1.2.47.53 1.000000
1.3.1.5 10.000000
1.3.7.11 10.000000
10.10.61.80 99999.000000
10.10.71.80 99999.000000
11.15.14.20 1.000000
11.3.37.44 1.000000
11.3.61.68 1.000000
11.53.12.13 99999.000000
12.13.11.14 1.000000
12.13.17.20 1.000000
12.13.50.53 1.000000
12.13.6.9 1.000000
12.3.35.39 1.000000
12.3.37.41 1.000000
12.57.15.16 99999.000000
12.57.4.5 99999.000000
12.57.9.10 99999.000000
13.12.1.4 1.000000
13.12.32.35 1.000000
13.12.34.37 1.000000
13.13.50.80 99999.000000
13.13.53.80 99999.000000
13.24.14.18 10.000000
13.24.20.24 10.000000
13.24.9.13 10.000000
15.10.55.61 1.000000
15.11.31.37 1.000000
15.11.55.61 1.000000
15.19.55.58 1.000000
15.22.20.23 1.000000
15.22.36.39 1.000000
15.22.47.50 1.000000
16.10.67.71 1.000000
16.17.17.19 1.000000
16.17.40.42 1.000000
16.18.67.70 1.000000
16.8.14.19 1.000000
16.8.62.67 1.000000
17.16.60.62 1.000000
17.19.19.21 1.000000
17.19.42.44 1.000000
18.16.11.14 1.000000
18.20.70.74 1.000000
18.63.5.6 99999.000000
19.15.33.36 1.000000
19.15.44.47 1.000000
19.17.58.60 1.000000
19.19.31.32 1000.000000
19.19.32.33 1000.000000
19.42.21.22 99999.000000
2.1.1.7 1.000000
2.2.51.80 99999.000000
2.2.74.80 99999.000000
2.6.1.6 10.000000
2.6.53.58 10.000000
20.18.1.5 10.000000
20.20.74.80 99999.000000
21.24.41.44 1.000000
22.15.28.31 1.000000
22.15.52.55 1.000000
22.21.39.41 1.000000
22.46.50.51 99999.000000
22.54.23.24 99999.000000
22.73.26.27 99999.000000
24.13.28.32 1.000000
24.13.30.34 1.000000
24.13.46.50 1.000000
24.38.44.45 99999.000000
24.58.13.14 99999.000000
24.58.18.19 99999.000000
24.58.24.25 99999.000000
24.81.26.27 99999.000000
24.81.28.29 99999.000000
24.83.26.27 99999.000000
3.1.41.45 1.000000
3.1.43.47 1.000000
3.1.68.72 1.000000
3.11.5.12 1.000000
3.12.11.15 1.000000
3.12.46.50 1.000000
3.12.5.9 1.000000
3.74.44.45 99999.000000
3.82.39.40 99999.000000
3.82.41.42 99999.000000
37.6.7.8 99999.000000
38.24.45.46 99999.000000
41.8.11.12 99999.000000
42.19.30.31 99999.000000
42.42.22.30 99999.000000
45.8.34.35 99999.000000
46.22.51.52 99999.000000
53.11.13.14 99999.000000
54.22.25.26 99999.000000
54.54.24.25 99999.000000
57.12.10.11 99999.000000
57.12.16.17 99999.000000
57.12.5.6 99999.000000
58.24.25.26 99999.000000
58.58.14.25 99999.000000
58.58.19.25 99999.000000
6.2.69.74 1.000000
6.37.6.7 99999.000000
6.64.21.22 99999.000000
6.8.31.33 1.000000
6.8.60.62 1.000000
6.8.8.10 1.000000
6.84.58.59 99999.000000
63.18.10.11 99999.000000
63.63.6.10 99999.000000
64.6.30.31 99999.000000
64.64.22.30 99999.000000
73.22.27.28 99999.000000
74.3.45.46 99999.000000
8.16.12.17 1.000000
8.16.35.40 1.000000
8.16.62.67 1.000000
8.41.10.11 99999.000000
8.45.33.34 99999.000000
8.6.19.21 1.000000
8.6.67.69 1.000000
81.24.27.28 99999.000000
81.24.29.30 99999.000000
82.3.40.41 99999.000000
82.3.42.43 99999.000000
83.24.27.28 99999.000000
84.6.59.60 99999.000000
