1,1,1,1;3;11;53;11;15;22;54;54;22;21;24;13;13;,1;5;12;13;14;20;23;24;25;26;28;31;35;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]; _15[2]; _15[2]; _15[2];,1;76;164;165;80;45;166;-1;167;68;65;73;-1;,36.00;,[15]
1,1,2,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
1,1,3,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
1,1,4,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
2,2,1,1;2;6;39;6;8;16;18;40;40;18;20;20;,1;7;12;13;14;16;21;24;25;30;31;35;80;, ; ; ; _8[1]; _8[1]; _8[1]; _8[1]; _8[1]; _8[2]; _8[2]; _8[2]; _8[2]; _8[2];,0;3;136;137;15;21;49;138;-1;139;55;-1;,34.00;,[8]
2,2,2,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
2,2,3,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
2,2,4,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
3,3,1,1;3;25;3;3;11;15;19;17;26;17;16;10;10;,1;5;6;7;8;15;21;24;26;27;28;30;34;80;, ; ; _1[1]; _1[1]; _1[1]; _1[1]; _1[1]; _1[1]; _1[1]; _1[2]; _1[2]; _1[2]; _1[2]; _1[2];,1;108;109;86;76;80;44;57;110;111;51;47;-1;,35.50;,[1]
3,3,2,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,11.50;,[17][29][30]
3,3,3,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,11.50;,[17][29][30]
