Internal_veh_ID,Vehicle ID,path_No, path_node_seq,path_time_sequence, path_node_state_sequence,path_link_sequence, path_cost, served passengers
1,1,4,1;3;11;53;11;15;22;54;54;22;73;22;15;11;3;74;3;12;13;13;,1;5;12;13;14;20;23;24;25;26;27;28;31;37;44;45;46;50;53;80;, ; ; ; _15[1]; _15[1]; _15[1]; _15[1]; _15[2]; _15[2]; _15[2]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[1]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2]; _15[2]_25[2];,1;76;164;165;80;45;166;-1;167;204;205;66;81;77;206;207;6;36;-1;,25.00;,[15][25]
2,2,4,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,13.00;,[17][29][30]
3,3,4,1;3;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;5;9;10;11;14;18;19;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,1;6;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,11.50;,[17][29][30]
4,4,4,2;6;37;6;8;41;8;16;17;19;42;42;19;19;19;15;22;21;24;38;24;13;13;,1;6;7;8;10;11;12;17;19;21;22;30;31;32;33;36;39;41;44;45;46;50;80;, ; ; _7[1]; _7[1]; _7[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[1]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[1]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2]; _7[2]_9[2];,3;132;133;15;140;141;21;48;52;142;-1;143;102;102;56;45;68;65;134;135;73;-1;,19.00;,[7][9]
5,5,4,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;18;20;20;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;70;74;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;49;55;-1;,16.00;,[17][29][30]
6,6,4,2;1;3;12;57;12;13;24;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;7;11;15;16;17;20;24;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,2;1;6;172;173;36;38;174;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,14.50;,[17][29][30]
7,7,4,13;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;1;1;,1;4;5;6;9;13;14;25;26;27;28;32;35;39;40;41;45;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,37;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;4;-1;,16.00;,[17][29]
8,8,4,13;12;57;12;13;24;58;58;24;81;24;13;12;3;82;3;1;2;2;,1;4;5;6;9;13;14;25;26;27;28;32;35;39;40;41;45;51;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[1]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2]; _17[2]_29[2];,37;172;173;36;38;174;-1;175;220;221;73;37;34;222;223;4;0;-1;,19.00;,[17][29]
9,9,4,13;12;57;12;13;24;58;58;24;83;24;81;24;13;12;3;82;3;1;2;6;84;6;8;16;10;10;,1;4;5;6;9;13;14;25;26;27;28;29;30;34;37;41;42;43;47;53;58;59;60;62;67;71;80;, ; ; _17[1]; _17[1]; _17[1]; _17[1]; _17[2]; _17[2]; _17[2]; _17[2]_30[1]; _17[2]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[1]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[1]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2]; _17[2]_29[2]_30[2];,37;172;173;36;38;174;-1;175;224;225;220;221;73;37;34;222;223;4;0;3;226;227;15;21;47;-1;,9.00;,[17][29][30]
10,10,4,20;18;63;63;18;16;8;6;64;64;6;8;45;8;16;17;19;15;22;46;22;15;11;3;1;1;,1;5;6;10;11;14;19;21;22;30;31;33;34;35;40;42;44;47;50;51;52;55;61;68;72;80;, ; ; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[1]; _20[2]; _20[2]; _20[2]; _20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[1]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2]; _11[2]_20[2];,59;184;-1;185;54;46;18;186;-1;187;15;148;149;21;48;52;56;45;150;151;66;81;77;4;-1;,29.00;,[11][20]
