agent_id,path_no,path_cost, arc(i.j.t.s), path_arc_incidence, arc_cap(i.j.t.s)
1,4,25.00,1.3.1.5,1,10.00
1,4,25.00,3.11.5.12,1,1.00
1,4,25.00,11.53.12.13,1,99999.00
1,4,25.00,53.11.13.14,1,99999.00
1,4,25.00,11.15.14.20,1,1.00
1,4,25.00,15.22.20.23,1,1.00
1,4,25.00,22.54.23.24,1,99999.00
1,4,25.00,54.54.24.25,1,99999.00
1,4,25.00,54.22.25.26,1,99999.00
1,4,25.00,22.73.26.27,1,99999.00
1,4,25.00,73.22.27.28,1,99999.00
1,4,25.00,22.15.28.31,1,1.00
1,4,25.00,15.11.31.37,1,1.00
1,4,25.00,11.3.37.44,1,1.00
1,4,25.00,3.74.44.45,1,99999.00
1,4,25.00,74.3.45.46,1,99999.00
1,4,25.00,3.12.46.50,1,1.00
1,4,25.00,12.13.50.53,1,1.00
1,4,25.00,13.13.53.80,1,99999.00
2,4,13.00,1.3.1.5,1,10.00
2,4,13.00,3.12.5.9,1,1.00
2,4,13.00,12.57.9.10,1,99999.00
2,4,13.00,57.12.10.11,1,99999.00
2,4,13.00,12.13.11.14,1,1.00
2,4,13.00,13.24.14.18,1,10.00
2,4,13.00,24.58.18.19,1,99999.00
2,4,13.00,58.58.19.25,1,99999.00
2,4,13.00,58.24.25.26,1,99999.00
2,4,13.00,24.83.26.27,1,99999.00
2,4,13.00,83.24.27.28,1,99999.00
2,4,13.00,24.81.28.29,1,99999.00
2,4,13.00,81.24.29.30,1,99999.00
2,4,13.00,24.13.30.34,1,1.00
2,4,13.00,13.12.34.37,1,1.00
2,4,13.00,12.3.37.41,1,1.00
2,4,13.00,3.82.41.42,1,99999.00
2,4,13.00,82.3.42.43,1,99999.00
2,4,13.00,3.1.43.47,1,1.00
2,4,13.00,1.2.47.53,1,1.00
2,4,13.00,2.6.53.58,1,10.00
2,4,13.00,6.84.58.59,1,99999.00
2,4,13.00,84.6.59.60,1,99999.00
2,4,13.00,6.8.60.62,1,1.00
2,4,13.00,8.16.62.67,1,1.00
2,4,13.00,16.18.67.70,1,1.00
2,4,13.00,18.20.70.74,1,1.00
2,4,13.00,20.20.74.80,1,99999.00
3,4,11.50,1.3.1.5,1,10.00
3,4,11.50,3.12.5.9,1,1.00
3,4,11.50,12.57.9.10,1,99999.00
3,4,11.50,57.12.10.11,1,99999.00
3,4,11.50,12.13.11.14,1,1.00
3,4,11.50,13.24.14.18,1,10.00
