from_node,to_node,from_time,to_time,arc_capacity
1,1,5,6,20.000000
1,1,6,7,20.000000
1,1,7,8,20.000000
1,547,8,9,20.000000
10,10,6,7,20.000000
10,10,7,8,20.000000
10,556,8,9,20.000000
100,100,6,7,20.000000
100,100,7,8,20.000000
100,646,8,9,20.000000
1001,547,0,1,20.000000
1001,547,1,2,20.000000
1002,548,0,1,20.000000
1002,548,1,2,20.000000
1003,549,0,1,20.000000
1003,549,1,2,20.000000
1004,550,0,1,20.000000
1004,550,1,2,20.000000
1005,551,0,1,20.000000
1005,551,1,2,20.000000
1006,552,0,1,20.000000
1006,552,1,2,20.000000
1007,553,0,1,20.000000
1007,553,1,2,20.000000
1008,554,0,1,20.000000
1008,554,1,2,20.000000
1008,554,10,11,20.000000
1009,555,0,1,20.000000
1009,555,1,2,20.000000
101,101,7,8,20.000000
101,647,8,9,20.000000
1010,556,0,1,20.000000
1010,556,1,2,20.000000
1011,557,0,1,20.000000
1011,557,1,2,20.000000
1012,558,0,1,20.000000
1012,558,1,2,20.000000
1013,559,0,1,20.000000
1013,559,1,2,20.000000
1014,560,0,1,20.000000
1014,560,1,2,20.000000
1015,561,0,1,20.000000
1015,561,1,2,20.000000
1016,562,0,1,20.000000
1016,562,1,2,20.000000
1017,563,0,1,20.000000
1017,563,1,2,20.000000
1018,564,0,1,20.000000
1018,564,1,2,20.000000
1019,565,0,1,20.000000
1019,565,1,2,20.000000
102,102,5,6,20.000000
102,102,6,7,20.000000
102,102,7,8,20.000000
102,648,8,9,20.000000
1020,566,0,1,20.000000
1020,566,1,2,20.000000
1021,567,0,1,20.000000
1021,567,1,2,20.000000
1022,568,0,1,20.000000
1022,568,1,2,20.000000
1023,569,0,1,20.000000
1023,569,1,2,20.000000
1024,570,0,1,20.000000
1024,570,1,2,20.000000
1025,571,0,1,20.000000
1025,571,1,2,20.000000
1026,572,0,1,20.000000
1026,572,1,2,20.000000
1027,573,0,1,20.000000
1027,573,1,2,20.000000
1028,574,0,1,20.000000
1028,574,1,2,20.000000
1029,575,0,1,20.000000
1029,575,1,2,20.000000
103,103,6,7,20.000000
103,103,7,8,20.000000
103,649,8,9,20.000000
1030,576,0,1,20.000000
1030,576,1,2,20.000000
1031,577,0,1,20.000000
1031,577,1,2,20.000000
1032,578,0,1,20.000000
1032,578,1,2,20.000000
1033,579,0,1,20.000000
1033,579,1,2,20.000000
1034,580,0,1,20.000000
1034,580,1,2,20.000000
1035,581,0,1,20.000000
1035,581,1,2,20.000000
1036,582,0,1,20.000000
1036,582,1,2,20.000000
1037,583,0,1,20.000000
1037,583,1,2,20.000000
1038,584,0,1,20.000000
1038,584,1,2,20.000000
1039,585,0,1,20.000000
1039,585,1,2,20.000000
104,104,6,7,20.000000
104,104,7,8,20.000000
104,650,8,9,20.000000
1040,586,0,1,20.000000
1040,586,1,2,20.000000
1041,587,0,1,20.000000
1041,587,1,2,20.000000
1042,588,0,1,20.000000
1042,588,1,2,20.000000
1043,589,0,1,20.000000
1043,589,1,2,20.000000
1044,590,0,1,20.000000
1044,590,1,2,20.000000
1045,591,0,1,20.000000
1045,591,1,2,20.000000
1046,592,0,1,20.000000
1046,592,1,2,20.000000
1047,593,0,1,20.000000
1047,593,1,2,20.000000
1048,594,0,1,20.000000
1048,594,1,2,20.000000
1049,595,0,1,20.000000
1049,595,1,2,20.000000
105,105,6,7,20.000000
105,105,7,8,20.000000
105,651,8,9,20.000000
1050,596,0,1,20.000000
1050,596,1,2,20.000000
1051,597,0,1,20.000000
1051,597,1,2,20.000000
1052,598,0,1,20.000000
1052,598,1,2,20.000000
1053,599,0,1,20.000000
1053,599,1,2,20.000000
1054,600,0,1,20.000000
1054,600,1,2,20.000000
1055,601,0,1,20.000000
1055,601,1,2,20.000000
1056,602,0,1,20.000000
1057,603,0,1,20.000000
1057,603,1,2,20.000000
1058,604,0,1,20.000000
1058,604,1,2,20.000000
1059,605,0,1,20.000000
1059,605,1,2,20.000000
106,106,5,6,20.000000
106,106,6,7,20.000000
106,106,7,8,20.000000
106,652,8,9,20.000000
1060,606,0,1,20.000000
1060,606,1,2,20.000000
1061,607,0,1,20.000000
1061,607,1,2,20.000000
1062,608,0,1,20.000000
1062,608,1,2,20.000000
1063,609,0,1,20.000000
1063,609,1,2,20.000000
1064,610,0,1,20.000000
1064,610,1,2,20.000000
1065,611,0,1,20.000000
1065,611,1,2,20.000000
1066,612,0,1,20.000000
1066,612,1,2,20.000000
1067,613,0,1,20.000000
1068,614,0,1,20.000000
1068,614,1,2,20.000000
1069,615,0,1,20.000000
107,107,5,6,20.000000
107,107,6,7,20.000000
107,107,7,8,20.000000
107,653,8,9,20.000000
1070,616,0,1,20.000000
1070,616,1,2,20.000000
1071,617,0,1,20.000000
1071,617,1,2,20.000000
1072,618,0,1,20.000000
1072,618,1,2,20.000000
1073,619,0,1,20.000000
1073,619,1,2,20.000000
1074,620,0,1,20.000000
1074,620,1,2,20.000000
1075,621,0,1,20.000000
1075,621,1,2,20.000000
1076,622,0,1,20.000000
1076,622,1,2,20.000000
1077,623,0,1,20.000000
1077,623,1,2,20.000000
1078,624,0,1,20.000000
1078,624,1,2,20.000000
1079,625,0,1,20.000000
1079,625,1,2,20.000000
108,108,6,7,20.000000
108,108,7,8,20.000000
108,654,8,9,20.000000
1080,626,0,1,20.000000
1080,626,1,2,20.000000
1081,627,0,1,20.000000
1081,627,1,2,20.000000
1082,628,0,1,20.000000
1082,628,1,2,20.000000
1083,629,0,1,20.000000
1083,629,1,2,20.000000
1084,630,0,1,20.000000
1084,630,1,2,20.000000
1085,631,0,1,20.000000
1085,631,1,2,20.000000
1086,632,0,1,20.000000
1086,632,1,2,20.000000
1087,633,0,1,20.000000
1087,633,1,2,20.000000
1088,634,0,1,20.000000
1088,634,1,2,20.000000
1089,635,0,1,20.000000
1089,635,1,2,20.000000
109,109,2,3,20.000000
109,109,3,4,20.000000
109,109,4,5,20.000000
109,109,5,6,20.000000
109,109,6,7,20.000000
109,109,7,8,20.000000
109,655,8,9,20.000000
1090,636,0,1,20.000000
1090,636,1,2,20.000000
1091,637,0,1,20.000000
1091,637,1,2,20.000000
1092,638,0,1,20.000000
1092,638,1,2,20.000000
1093,639,0,1,20.000000
1093,639,1,2,20.000000
1094,640,0,1,20.000000
1094,640,1,2,20.000000
1095,641,0,1,20.000000
1095,641,1,2,20.000000
1096,642,0,1,20.000000
1096,642,1,2,20.000000
1097,643,0,1,20.000000
1097,643,1,2,20.000000
1098,644,0,1,20.000000
1098,644,1,2,20.000000
1099,645,0,1,20.000000
1099,645,1,2,20.000000
11,11,6,7,20.000000
11,11,7,8,20.000000
11,557,8,9,20.000000
110,110,5,6,20.000000
110,110,6,7,20.000000
110,110,7,8,20.000000
110,656,8,9,20.000000
1100,646,0,1,20.000000
1100,646,1,2,20.000000
1100,646,10,11,20.000000
1101,647,0,1,20.000000
1101,647,1,2,20.000000
1102,648,0,1,20.000000
1103,649,0,1,20.000000
1103,649,1,2,20.000000
1104,650,0,1,20.000000
1104,650,1,2,20.000000
1105,651,0,1,20.000000
1105,651,1,2,20.000000
1106,652,0,1,20.000000
1106,652,1,2,20.000000
1107,653,0,1,20.000000
1107,653,1,2,20.000000
1108,654,0,1,20.000000
1108,654,1,2,20.000000
1109,655,0,1,20.000000
1109,655,1,2,20.000000
111,111,7,8,20.000000
111,657,8,9,20.000000
1110,656,0,1,20.000000
1110,656,1,2,20.000000
1111,657,0,1,20.000000
1111,657,1,2,20.000000
1112,658,0,1,20.000000
1112,658,1,2,20.000000
1113,659,0,1,20.000000
1113,659,1,2,20.000000
1114,660,0,1,20.000000
1114,660,1,2,20.000000
1115,661,0,1,20.000000
1115,661,1,2,20.000000
1116,662,0,1,20.000000
1116,662,1,2,20.000000
1117,663,0,1,20.000000
1117,663,1,2,20.000000
1118,664,0,1,20.000000
1118,664,1,2,20.000000
1119,665,0,1,20.000000
1119,665,1,2,20.000000
112,112,5,6,20.000000
112,112,6,7,20.000000
112,112,7,8,20.000000
112,658,8,9,20.000000
1120,666,0,1,20.000000
1120,666,1,2,20.000000
1121,667,0,1,20.000000
1121,667,1,2,20.000000
1122,668,0,1,20.000000
1122,668,1,2,20.000000
113,113,2,3,20.000000
113,113,3,4,20.000000
113,113,4,5,20.000000
113,113,5,6,20.000000
113,113,6,7,20.000000
113,113,7,8,20.000000
113,659,8,9,20.000000
114,114,5,6,20.000000
114,114,6,7,20.000000
114,114,7,8,20.000000
114,660,8,9,20.000000
115,661,8,9,20.000000
116,116,5,6,20.000000
116,116,6,7,20.000000
116,116,7,8,20.000000
116,662,8,9,20.000000
117,117,6,7,20.000000
117,117,7,8,20.000000
117,663,8,9,20.000000
118,118,6,7,20.000000
118,118,7,8,20.000000
118,664,8,9,20.000000
119,119,6,7,20.000000
119,119,7,8,20.000000
119,665,8,9,20.000000
12,12,7,8,20.000000
12,558,8,9,20.000000
120,120,5,6,20.000000
120,120,6,7,20.000000
120,120,7,8,20.000000
120,666,8,9,20.000000
121,121,2,3,20.000000
121,121,3,4,20.000000
121,121,4,5,20.000000
121,121,5,6,20.000000
121,121,6,7,20.000000
121,121,7,8,20.000000
121,667,8,9,20.000000
122,122,6,7,20.000000
122,122,7,8,20.000000
122,668,8,9,20.000000
123,123,6,7,20.000000
123,123,7,8,20.000000
123,669,8,9,20.000000
124,124,7,8,20.000000
124,670,8,9,20.000000
125,671,8,9,20.000000
129,129,6,7,20.000000
129,129,7,8,20.000000
129,675,8,9,20.000000
13,13,7,8,20.000000
13,559,8,9,20.000000
130,676,8,9,20.000000
133,133,6,7,20.000000
133,133,7,8,20.000000
133,679,8,9,20.000000
134,680,8,9,20.000000
135,681,8,9,20.000000
136,682,8,9,20.000000
14,14,7,8,20.000000
14,560,8,9,20.000000
145,145,6,7,20.000000
145,145,7,8,20.000000
145,691,8,9,20.000000
147,693,8,9,20.000000
15,15,7,8,20.000000
15,561,8,9,20.000000
157,157,7,8,20.000000
157,703,8,9,20.000000
159,705,8,9,20.000000
16,16,6,7,20.000000
16,16,7,8,20.000000
16,562,8,9,20.000000
161,161,6,7,20.000000
161,161,7,8,20.000000
161,707,8,9,20.000000
17,17,4,5,20.000000
17,17,5,6,20.000000
17,17,6,7,20.000000
17,17,7,8,20.000000
17,563,8,9,20.000000
18,18,5,6,20.000000
18,18,6,7,20.000000
18,18,7,8,20.000000
18,564,8,9,20.000000
19,19,5,6,20.000000
19,19,6,7,20.000000
19,19,7,8,20.000000
19,565,8,9,20.000000
2,2,3,4,20.000000
2,2,4,5,20.000000
2,2,5,6,20.000000
2,2,6,7,20.000000
2,2,7,8,20.000000
2,548,8,9,20.000000
20,20,2,3,20.000000
20,20,3,4,20.000000
20,20,4,5,20.000000
20,20,5,6,20.000000
20,20,6,7,20.000000
20,20,7,8,20.000000
20,566,8,9,20.000000
21,21,2,3,20.000000
21,21,3,4,20.000000
21,21,4,5,20.000000
21,21,5,6,20.000000
21,21,6,7,20.000000
21,21,7,8,20.000000
21,567,8,9,20.000000
22,22,4,5,20.000000
22,22,5,6,20.000000
22,22,6,7,20.000000
22,22,7,8,20.000000
22,568,8,9,20.000000
23,23,5,6,20.000000
23,23,6,7,20.000000
23,23,7,8,20.000000
23,569,8,9,20.000000
230,230,6,7,20.000000
230,230,7,8,20.000000
230,776,8,9,20.000000
232,232,7,8,20.000000
232,778,8,9,20.000000
24,24,5,6,20.000000
24,24,6,7,20.000000
24,24,7,8,20.000000
24,570,8,9,20.000000
25,25,7,8,20.000000
25,571,8,9,20.000000
26,26,3,4,20.000000
26,26,4,5,20.000000
26,26,5,6,20.000000
26,26,6,7,20.000000
26,26,7,8,20.000000
26,572,8,9,20.000000
27,27,3,4,20.000000
27,27,4,5,20.000000
27,27,5,6,20.000000
27,27,6,7,20.000000
27,27,7,8,20.000000
27,573,8,9,20.000000
279,825,8,9,20.000000
28,28,5,6,20.000000
28,28,6,7,20.000000
28,28,7,8,20.000000
28,574,8,9,20.000000
281,281,6,7,20.000000
281,281,7,8,20.000000
281,827,8,9,20.000000
29,29,5,6,20.000000
29,29,6,7,20.000000
29,29,7,8,20.000000
29,575,8,9,20.000000
295,841,8,9,20.000000
297,297,6,7,20.000000
297,297,7,8,20.000000
297,843,8,9,20.000000
3,3,7,8,20.000000
3,549,8,9,20.000000
30,30,5,6,20.000000
30,30,6,7,20.000000
30,30,7,8,20.000000
30,576,8,9,20.000000
304,304,6,7,20.000000
304,304,7,8,20.000000
304,850,8,9,20.000000
31,31,7,8,20.000000
31,577,8,9,20.000000
32,32,7,8,20.000000
32,578,8,9,20.000000
33,33,5,6,20.000000
33,33,6,7,20.000000
33,33,7,8,20.000000
33,579,8,9,20.000000
34,34,6,7,20.000000
34,34,7,8,20.000000
34,580,8,9,20.000000
35,35,6,7,20.000000
35,35,7,8,20.000000
35,581,8,9,20.000000
356,356,6,7,20.000000
356,356,7,8,20.000000
356,902,8,9,20.000000
36,36,6,7,20.000000
36,36,7,8,20.000000
36,582,8,9,20.000000
37,37,3,4,20.000000
37,37,4,5,20.000000
37,37,5,6,20.000000
37,37,6,7,20.000000
37,37,7,8,20.000000
37,583,8,9,20.000000
38,584,8,9,20.000000
39,39,3,4,20.000000
39,39,4,5,20.000000
39,39,5,6,20.000000
39,39,6,7,20.000000
39,39,7,8,20.000000
39,585,8,9,20.000000
394,601,10,11,20.000000
397,604,15,16,20.000000
397,604,4,5,20.000000
398,399,15,16,20.000000
399,537,10,14,20.000000
399,537,11,15,20.000000
399,537,12,16,20.000000
399,537,15,19,20.000000
399,537,16,20,20.000000
399,537,17,21,20.000000
399,537,18,22,20.000000
399,537,22,26,20.000000
399,609,19,20,20.000000
399,609,3,4,20.000000
399,609,6,7,20.000000
4,4,7,8,20.000000
4,550,8,9,20.000000
40,40,3,4,20.000000
40,40,4,5,20.000000
40,40,5,6,20.000000
40,40,6,7,20.000000
40,40,7,8,20.000000
40,586,8,9,20.000000
400,398,13,15,20.000000
400,609,10,13,20.000000
400,609,3,6,20.000000
401,400,10,13,20.000000
401,590,2,4,20.000000
401,590,5,7,20.000000
403,403,19,20,20.000000
403,404,10,13,20.000000
403,404,16,19,20.000000
403,611,11,13,20.000000
403,611,13,15,20.000000
403,611,2,4,20.000000
403,611,20,22,20.000000
403,611,5,7,20.000000
404,405,13,14,20.000000
404,405,14,15,20.000000
404,405,19,20,20.000000
404,680,11,13,20.000000
404,680,19,21,20.000000
405,488,14,15,20.000000
405,488,15,16,20.000000
405,488,20,21,20.000000
41,41,6,7,20.000000
41,41,7,8,20.000000
41,587,8,9,20.000000
42,588,8,9,20.000000
425,426,13,15,20.000000
425,426,15,17,20.000000
426,441,15,19,20.000000
426,441,17,21,20.000000
429,593,10,11,20.000000
43,589,8,9,20.000000
431,432,11,14,20.000000
431,597,3,5,20.000000
432,433,14,16,20.000000
432,599,4,6,20.000000
433,434,10,12,20.000000
433,434,12,14,20.000000
433,434,16,18,20.000000
433,616,3,6,20.000000
434,435,12,15,20.000000
434,435,14,17,20.000000
434,435,17,20,20.000000
434,435,18,21,20.000000
435,435,10,11,20.000000
435,435,12,13,20.000000
435,436,11,13,20.000000
435,436,13,15,20.000000
435,436,14,16,20.000000
435,436,15,17,20.000000
435,436,17,19,20.000000
435,436,20,22,20.000000
435,436,21,23,20.000000
435,436,31,33,20.000000
435,436,32,34,20.000000
435,436,33,35,20.000000
435,436,34,36,20.000000
435,436,37,39,20.000000
435,436,38,40,20.000000
435,436,42,44,20.000000
435,552,24,25,20.000000
435,552,3,4,20.000000
435,554,13,15,20.000000
435,554,15,17,20.000000
435,554,16,18,20.000000
435,554,17,19,20.000000
435,554,5,7,20.000000
436,435,29,31,20.000000
436,435,30,32,20.000000
436,435,32,34,20.000000
436,435,36,38,20.000000
436,435,40,42,20.000000
436,436,16,17,20.000000
436,436,26,27,20.000000
436,436,28,29,20.000000
436,436,29,30,20.000000
436,436,31,32,20.000000
436,436,35,36,20.000000
436,436,39,40,20.000000
436,437,13,16,20.000000
436,437,17,20,20.000000
436,437,22,25,20.000000
436,437,23,26,20.000000
436,437,30,33,20.000000
436,437,33,36,20.000000
436,437,34,37,20.000000
436,437,35,38,20.000000
436,437,36,39,20.000000
436,437,39,42,20.000000
436,437,40,43,20.000000
436,437,44,47,20.000000
436,496,15,16,20.000000
436,496,17,18,20.000000
436,496,19,20,20.000000
436,496,24,25,20.000000
436,496,26,27,20.000000
436,496,27,28,20.000000
436,496,29,30,20.000000
436,496,30,31,20.000000
436,496,32,33,20.000000
436,496,33,34,20.000000
436,496,34,35,20.000000
436,496,37,38,20.000000
436,496,38,39,20.000000
437,436,21,24,20.000000
437,436,23,26,20.000000
437,436,26,29,20.000000
437,436,27,30,20.000000
437,436,29,32,20.000000
437,436,30,33,20.000000
437,436,31,34,20.000000
437,436,34,37,20.000000
437,436,35,38,20.000000
437,437,16,17,20.000000
437,437,18,19,20.000000
437,437,22,23,20.000000
437,437,25,26,20.000000
437,437,26,27,20.000000
437,437,27,28,20.000000
437,437,28,29,20.000000
437,437,29,30,20.000000
437,437,42,43,20.000000
437,438,26,30,20.000000
437,438,33,37,20.000000
437,438,43,47,20.000000
437,438,47,51,20.000000
437,554,3,4,20.000000
437,556,10,13,20.000000
437,556,11,14,20.000000
437,556,12,15,20.000000
437,556,13,16,20.000000
437,556,14,17,20.000000
437,556,15,18,20.000000
437,556,16,19,20.000000
437,556,17,20,20.000000
437,556,18,21,20.000000
437,556,19,22,20.000000
437,556,20,23,20.000000
437,556,21,24,20.000000
437,556,22,25,20.000000
437,556,23,26,20.000000
437,556,24,27,20.000000
437,556,25,28,20.000000
437,556,26,29,20.000000
437,556,27,30,20.000000
437,556,28,31,20.000000
437,556,29,32,20.000000
437,556,30,33,20.000000
437,556,31,34,20.000000
437,556,32,35,20.000000
437,556,33,36,20.000000
437,556,34,37,20.000000
437,556,35,38,20.000000
437,556,36,39,20.000000
437,556,37,40,20.000000
437,556,38,41,20.000000
437,556,39,42,20.000000
437,556,40,43,20.000000
437,556,41,44,20.000000
437,556,42,45,20.000000
437,556,43,46,20.000000
437,556,44,47,20.000000
437,556,45,48,20.000000
