from_node,to_node,from_time,to_time,arc_capacity
1,1,5,6,35
1,1,6,7,35
1,1,7,8,35
1,547,8,9,35
10,10,6,7,35
10,10,7,8,35
10,556,8,9,35
100,100,6,7,35
100,100,7,8,35
100,646,8,9,35
1001,547,0,1,35
1001,547,1,2,35
1002,548,0,1,35
1002,548,1,2,35
1003,549,0,1,35
1003,549,1,2,35
1004,550,0,1,35
1004,550,1,2,35
1005,551,0,1,35
1005,551,1,2,35
1006,552,0,1,35
1006,552,1,2,35
1007,553,0,1,35
1007,553,1,2,35
1008,554,0,1,35
1008,554,1,2,35
1008,554,10,11,35
1009,555,0,1,35
1009,555,1,2,35
101,101,7,8,35
101,647,8,9,35
1010,556,0,1,35
1010,556,1,2,35
1011,557,0,1,35
1011,557,1,2,35
1012,558,0,1,35
1012,558,1,2,35
1013,559,0,1,35
1013,559,1,2,35
1014,560,0,1,35
1014,560,1,2,35
1015,561,0,1,35
1015,561,1,2,35
1016,562,0,1,35
1016,562,1,2,35
1017,563,0,1,35
1017,563,1,2,35
1018,564,0,1,35
1018,564,1,2,35
1019,565,0,1,35
1019,565,1,2,35
102,102,5,6,35
102,102,6,7,35
102,102,7,8,35
102,648,8,9,35
1020,566,0,1,35
1020,566,1,2,35
1021,567,0,1,35
1021,567,1,2,35
1022,568,0,1,35
1022,568,1,2,35
1023,569,0,1,35
1023,569,1,2,35
1024,570,0,1,35
1024,570,1,2,35
1025,571,0,1,35
1025,571,1,2,35
1026,572,0,1,35
1026,572,1,2,35
1027,573,0,1,35
1027,573,1,2,35
1028,574,0,1,35
1028,574,1,2,35
1029,575,0,1,35
1029,575,1,2,35
103,103,6,7,35
103,103,7,8,35
103,649,8,9,35
1030,576,0,1,35
1030,576,1,2,35
1031,577,0,1,35
1031,577,1,2,35
1032,578,0,1,35
1032,578,1,2,35
1033,579,0,1,35
1033,579,1,2,35
1034,580,0,1,35
1034,580,1,2,35
1035,581,0,1,35
1035,581,1,2,35
1036,582,0,1,35
1036,582,1,2,35
1037,583,0,1,35
1037,583,1,2,35
1038,584,0,1,35
1038,584,1,2,35
1039,585,0,1,35
1039,585,1,2,35
104,104,6,7,35
104,104,7,8,35
104,650,8,9,35
1040,586,0,1,35
1040,586,1,2,35
1041,587,0,1,35
1041,587,1,2,35
1042,588,0,1,35
1042,588,1,2,35
1043,589,0,1,35
1043,589,1,2,35
1044,590,0,1,35
1044,590,1,2,35
1045,591,0,1,35
1045,591,1,2,35
1046,592,0,1,35
1046,592,1,2,35
