space_time_arc, arc_flow
(1_1_5_6),4.000000
(1_1_6_7),4.000000
(1_1_7_8),4.000000
(1_547_8_9),4.000000
(10_10_6_7),4.000000
(10_10_7_8),4.000000
(10_556_8_9),4.000000
(100_100_6_7),4.000000
(100_100_7_8),4.000000
(100_646_8_9),4.000000
(1001_547_0_1),11.269409
(1001_547_1_2),15.999344
(1002_548_0_1),7.159684
(1002_548_1_2),9.073613
(1003_549_0_1),4.683205
(1003_549_1_2),4.494387
(1004_550_0_1),11.999905
(1004_550_1_2),11.985718
(1005_551_0_1),9.666492
(1005_551_1_2),17.513691
(1006_552_0_1),8.552034
(1006_552_1_2),12.444090
(1007_553_0_1),12.000000
(1007_553_1_2),9.127457
(1008_554_0_1),13.491838
(1008_554_1_2),15.542905
(1008_554_10_11),2.236280
(1009_555_0_1),8.265962
(1009_555_1_2),11.999862
(101_101_7_8),0.966654
(101_647_8_9),4.000000
(1010_556_0_1),13.140841
(1010_556_1_2),7.999309
(1011_557_0_1),16.000000
(1011_557_1_2),11.999954
(1012_558_0_1),7.686489
(1012_558_1_2),9.432940
(1013_559_0_1),9.114215
(1013_559_1_2),7.489643
(1014_560_0_1),16.168835
(1014_560_1_2),9.483335
(1015_561_0_1),11.555779
(1015_561_1_2),13.605378
(1016_562_0_1),9.922191
(1016_562_1_2),7.139256
(1017_563_0_1),4.851062
(1017_563_1_2),6.990058
(1018_564_0_1),15.899118
(1018_564_1_2),7.672884
(1019_565_0_1),10.115053
(1019_565_1_2),15.998248
(102_102_5_6),5.159693
(102_102_6_7),5.159693
(102_102_7_8),5.159693
(102_648_8_9),4.000000
(1020_566_0_1),10.469948
(1020_566_1_2),13.679580
(1021_567_0_1),9.069936
(1021_567_1_2),9.316675
(1022_568_0_1),15.442762
(1022_568_1_2),11.019956
(1023_569_0_1),9.357089
(1023_569_1_2),12.000000
(1024_570_0_1),14.304626
(1024_570_1_2),12.427082
(1025_571_0_1),7.624757
(1025_571_1_2),15.999670
(1026_572_0_1),8.000000
(1026_572_1_2),12.000000
(1027_573_0_1),10.201755
(1027_573_1_2),16.000000
(1028_574_0_1),13.860716
(1028_574_1_2),10.645876
(1029_575_0_1),7.994764
(1029_575_1_2),16.161890
(103_103_6_7),4.000000
(103_103_7_8),4.000000
(103_649_8_9),4.000000
(1030_576_0_1),10.861002
(1030_576_1_2),12.000000
(1031_577_0_1),11.457730
(1031_577_1_2),10.122772
(1032_578_0_1),12.000000
(1032_578_1_2),6.790531
(1033_579_0_1),8.875703
(1033_579_1_2),17.340046
(1034_580_0_1),11.996137
(1034_580_1_2),9.978439
(1035_581_0_1),8.211281
(1035_581_1_2),15.332488
(1036_582_0_1),10.931493
(1036_582_1_2),8.594331
(1037_583_0_1),13.393110
(1037_583_1_2),13.549891
(1038_584_0_1),15.990915
(1038_584_1_2),15.996525
(1039_585_0_1),19.193480
(1039_585_1_2),19.260502
(104_104_6_7),12.000000
(104_104_7_8),12.000000
(104_650_8_9),4.000000
(1040_586_0_1),14.611467
(1040_586_1_2),16.898762
(1041_587_0_1),11.997363
(1041_587_1_2),16.000000
(1042_588_0_1),7.621203
(1042_588_1_2),19.997595
(1043_589_0_1),6.468904
(1043_589_1_2),15.999985
(1044_590_0_1),10.370954
(1044_590_1_2),16.000000
(1045_591_0_1),12.000000
(1045_591_1_2),15.991078
