agent_id,column_cost,served_pax_group,Path_node_sequence,path_time_sequence
1,12,7;,1001;547;548;552;553;7;7;553;496;556;1010;,0;1;2;4;6;7;8;9;10;11;12;
2,10,10;,1002;548;552;553;496;556;10;556;1010;,0;1;3;5;6;7;8;9;10;
3,13,14;,1003;549;550;560;14;14;560;556;1010;,0;1;3;6;7;8;9;12;13;
4,14,8;,1004;550;552;435;554;8;554;437;556;1010;,0;1;4;5;7;8;9;10;13;14;
5,15,12;,1005;551;495;560;558;12;558;557;556;1010;,0;1;4;5;7;8;9;11;14;15;
6,11,10;,1006;552;553;496;556;10;10;10;556;556;1010;,0;1;3;4;5;6;7;8;9;10;11;
7,16,9;,1007;553;496;556;555;9;9;555;624;556;1010;,0;1;2;3;6;7;8;9;11;15;16;
8,17,79;,1008;554;625;79;79;79;79;79;625;555;624;556;1010;,0;1;3;4;5;6;7;8;9;10;12;16;17;
9,13,11;,1009;555;624;557;11;557;556;1010;,0;1;3;7;8;9;12;13;
10,18,78;,1010;556;624;78;78;78;624;555;624;556;1010;,0;1;5;6;7;8;9;11;13;17;18;
11,19,84;,1011;557;630;84;84;84;84;84;630;626;624;556;1010;,0;1;3;4;5;6;7;8;9;11;14;18;19;
12,14,4;,1012;558;560;550;4;4;550;553;496;556;1010;,0;1;3;6;7;8;9;11;12;13;14;
13,15,15;,1013;559;491;558;561;15;15;561;560;556;1010;,0;1;2;4;6;7;8;9;11;14;15;
14,20,6;,1014;560;553;552;6;6;6;552;435;435;436;437;556;1010;,0;1;3;5;6;7;8;9;10;11;13;16;19;20;
15,16,13;,1015;561;558;491;559;13;13;559;557;556;1010;,0;1;3;5;6;7;8;9;12;15;16;
16,21,85;,1016;562;559;631;85;631;490;557;624;556;1010;,0;1;4;7;8;9;10;12;16;20;21;
17,17,5;,1017;563;551;5;5;5;5;5;551;495;560;556;1010;,0;1;3;4;5;6;7;8;9;12;13;16;17;
18,22,17;,1018;564;563;17;17;17;17;17;563;563;562;559;557;556;1010;,0;1;3;4;5;6;7;8;9;10;12;15;18;21;22;
19,18,16;,1019;565;564;493;562;16;16;16;562;492;561;560;556;1010;,0;1;2;4;5;6;7;8;9;10;12;14;17;18;
20,23,20;,1020;566;20;20;20;20;20;20;20;566;559;557;624;556;1010;,0;1;2;3;4;5;6;7;8;9;11;14;18;22;23;
21,19,21;,1021;567;21;21;21;21;21;21;21;567;562;492;561;560;556;1010;,0;1;2;3;4;5;6;7;8;9;10;11;13;15;18;19;
22,24,18;,1022;568;565;564;18;18;18;18;564;564;563;562;559;557;556;1010;,0;1;3;4;5;6;7;8;9;10;12;14;17;20;23;24;
23,25,19;,1023;569;565;19;19;19;19;565;564;564;563;562;559;557;556;1010;,0;1;4;5;6;7;8;9;10;11;13;15;18;21;24;25;
24,20,90;,1024;570;500;501;636;90;90;636;631;489;490;557;556;1010;,0;1;2;5;6;7;8;9;11;13;14;16;19;20;
25,21,82;,1025;571;632;628;82;628;485;626;624;555;556;1010;,0;1;4;7;8;9;10;12;15;17;20;21;
26,26,24;,1026;572;570;24;24;24;24;570;500;566;559;557;624;556;1010;,0;1;4;5;6;7;8;9;10;12;14;17;21;25;26;
27,22,23;,1027;573;569;23;23;23;23;569;499;498;497;493;492;561;560;556;1010;,0;1;4;5;6;7;8;9;10;11;12;13;14;16;18;21;22;
28,27,22;,1028;574;568;22;22;22;22;22;568;565;564;564;563;562;559;557;556;1010;,0;1;3;4;5;6;7;8;9;11;12;13;15;17;20;23;26;27;
29,23,26;,1029;575;528;573;572;26;572;571;631;490;557;556;1010;,0;1;2;4;7;8;9;12;16;17;19;22;23;
30,28,25;,1030;576;572;571;25;25;571;631;559;557;624;556;1010;,0;1;3;6;7;8;9;13;16;19;23;27;28;
31,24,28;,1031;577;530;529;531;574;28;574;532;533;498;497;493;492;561;560;556;1010;,0;1;2;4;5;7;8;9;11;12;13;14;15;16;18;20;23;24;
32,29,91;,1032;578;576;637;91;637;571;631;489;490;557;624;556;1010;,0;1;4;7;8;9;11;15;17;18;20;24;28;29;
33,30,31;,1033;579;580;545;577;31;577;530;529;531;532;533;498;497;493;492;562;559;557;556;1010;,0;1;4;5;7;8;9;10;12;13;14;15;16;17;18;19;20;23;26;29;30;
34,25,27;,1034;580;545;577;573;27;573;569;499;498;497;493;492;561;560;556;1010;,0;1;2;4;7;8;9;12;13;14;15;16;17;19;21;24;25;
35,26,29;,1035;581;575;29;29;29;29;575;528;529;531;532;533;498;497;493;492;561;560;556;1010;,0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20;22;25;26;
36,31,35;,1036;582;581;35;35;35;581;575;528;529;531;532;533;498;497;493;562;559;557;556;1010;,0;1;5;6;7;8;9;12;13;14;15;16;17;18;19;20;21;24;27;30;31;
37,16,76;,1037;583;540;622;76;76;76;76;622;555;556;1010;,0;1;2;4;5;6;7;8;9;12;15;16;
38,32,59;,1038;584;605;59;59;605;605;604;399;537;536;438;437;556;1010;,0;1;6;7;8;9;10;13;15;19;22;24;28;31;32;
39,27,43;,1039;585;401;590;589;43;589;591;613;615;622;555;556;1010;,0;1;2;4;7;8;9;12;15;17;20;23;26;27;
40,33,44;,1040;586;585;401;590;44;590;589;591;613;615;622;555;624;556;1010;,0;1;4;5;7;8;9;12;15;18;20;23;26;28;32;33;
41,28,46;,1041;587;592;46;46;46;46;592;591;441;440;439;438;437;556;1010;,0;1;4;5;6;7;8;9;12;14;16;18;20;24;27;28;
42,29,58;,1042;588;397;604;58;58;58;604;604;399;537;536;438;437;556;1010;,0;1;4;5;6;7;8;9;10;12;16;19;21;25;28;29;
43,22,67;,1043;589;591;613;67;613;440;439;438;437;556;1010;,0;1;4;7;8;9;10;12;14;18;21;22;
44,24,45;,1044;590;589;591;45;591;613;615;622;555;556;1010;,0;1;4;7;8;9;12;14;17;20;23;24;
45,19,66;,1045;591;441;596;612;66;612;614;554;437;556;1010;,0;1;3;4;7;8;9;11;14;15;18;19;
46,23,50;,1046;592;591;441;596;50;596;612;614;554;437;437;556;1010;,0;1;4;6;7;8;9;12;14;17;18;19;22;23;
47,20,71;,1047;593;595;617;71;617;433;434;435;436;496;556;1010;,0;1;4;7;8;9;10;12;15;17;18;19;20;
48,34,49;,1048;594;593;595;49;595;612;440;439;438;437;556;624;556;1010;,0;1;4;7;8;9;12;14;16;18;22;25;29;33;34;
49,17,68;,1049;595;612;614;68;68;614;554;437;556;1010;,0;1;4;6;7;8;9;12;13;16;17;
50,21,69;,1050;596;613;615;69;69;615;439;439;438;437;556;1010;,0;1;4;6;7;8;9;10;11;13;17;20;21;
51,19,70;,1051;597;599;616;70;616;618;552;553;496;556;1010;,0;1;4;7;8;9;11;14;16;17;18;19;
52,18,2;,1052;598;616;618;548;2;548;552;435;435;436;496;556;1010;,0;1;3;5;7;8;9;11;12;13;15;16;17;18;
53,17,72;,1053;599;616;618;72;72;618;552;553;496;556;1010;,0;1;4;6;7;8;9;12;14;15;16;17;
