arc_id,agent_index
(1001_547_0_1),0;241;475;703;922;
(1001_547_1_2),122;363;597;825;1040;
(1001_547_20_21),1118;1330;1452;1586;1705;1772;
(1001_547_21_22),1238;1398;1542;
(1002_548_0_1),1;242;476;704;923;
(1002_548_1_2),123;364;598;826;1041;
(1002_548_20_21),1119;1331;1453;1587;1706;
(1002_548_21_22),1239;1399;1543;
(1003_549_0_1),2;243;477;705;924;
(1003_549_1_2),124;365;599;827;1042;
(1003_549_20_21),1120;1240;1332;1454;1588;1707;
(1003_549_21_22),1400;1544;1773;
(1004_550_0_1),3;244;478;706;925;
(1004_550_1_2),125;366;600;828;1043;
(1004_550_20_21),1121;1333;1455;1589;1708;
(1004_550_21_22),1241;1401;1545;
(1005_551_0_1),4;245;479;707;926;
(1005_551_1_2),126;367;601;829;1044;
(1005_551_20_21),1122;1334;1456;1590;1709;
(1005_551_21_22),1242;1546;
(1006_552_0_1),5;246;480;708;927;
(1006_552_1_2),127;368;602;830;1045;
(1006_552_20_21),1123;1335;1457;1591;1710;
(1006_552_21_22),1243;1402;1547;
(1007_553_0_1),6;247;481;709;928;
(1007_553_1_2),128;369;603;
(1007_553_20_21),1124;1336;1403;1458;1592;1711;
(1007_553_21_22),1244;1548;
(1008_554_0_1),7;248;482;710;929;
(1008_554_10_11),187;
(1008_554_1_2),129;370;604;1046;
(1008_554_20_21),1125;1337;1459;1593;1712;
(1008_554_21_22),1245;1404;1549;
(1009_555_0_1),8;249;483;711;930;
(1009_555_1_2),130;371;605;831;1047;
(1009_555_20_21),1126;1338;1460;1594;1713;1774;
(1009_555_21_22),1246;1405;1550;
(100_100_10_11),273;810;
(100_100_11_12),273;591;810;
(100_100_12_13),591;810;
(100_100_13_14),591;810;
(100_100_14_15),591;810;
(100_100_15_16),591;810;
(100_100_16_17),810;
(100_100_17_18),810;
(100_100_18_19),810;
(100_100_19_20),810;
(100_100_21_22),999;
(100_100_22_23),999;
(100_100_23_24),999;
(100_100_25_26),1210;
(100_100_26_27),1210;
(100_100_27_28),1210;
(100_100_28_29),1210;
(100_100_29_30),1210;
(100_100_34_35),1731;
(100_100_35_36),1731;
(100_100_36_37),1731;
(100_100_37_38),1731;
(100_100_38_39),1731;
(100_100_39_40),1731;
(100_100_40_41),1731;
(100_100_41_42),1731;
(100_100_42_43),1731;
(100_100_43_44),1731;
(100_100_44_45),1709;1731;
(100_100_45_46),1709;1731;1760;
(100_100_6_7),216;
(100_100_7_8),216;
(100_646_12_13),273;393;
(100_646_16_17),591;699;
(100_646_20_21),810;
(100_646_24_25),999;
(100_646_28_46),1786;
(100_646_30_31),1210;1317;
(100_646_30_46),1767;
(100_646_31_46),1781;
(100_646_32_46),1765;
(100_646_36_46),1785;
(100_646_46_47),1706;1709;1731;1739;1760;1768;
(100_646_8_9),95;216;
(1010_556_0_1),9;250;484;712;931;
(1010_556_1_2),131;372;606;
(1010_556_20_21),1127;1339;1406;1461;1595;1714;
(1010_556_21_22),1247;1551;1685;
(1011_557_0_1),10;251;485;713;932;
(1011_557_1_2),132;373;607;
(1011_557_20_21),1128;1340;1407;1462;1596;1715;
(1011_557_21_22),1248;1552;
(1012_558_0_1),11;252;486;714;933;
(1012_558_1_2),133;374;608;
(1012_558_20_21),1129;1341;1463;1597;1716;
(1012_558_21_22),1249;1553;1775;
(1013_559_0_1),12;253;487;715;934;
(1013_559_1_2),134;375;609;832;
(1013_559_20_21),1130;1342;1464;1598;1717;
(1013_559_21_22),1250;1554;
(1014_560_0_1),13;254;488;716;935;
(1014_560_1_2),135;376;610;833;
(1014_560_20_21),1131;1343;1465;1599;1718;
(1014_560_21_22),1251;1408;1555;1776;
(1015_561_0_1),14;255;489;717;936;
(1015_561_1_2),136;377;611;1048;
(1015_561_20_21),1132;1344;1466;1600;1719;
(1015_561_21_22),1252;1556;
(1016_562_0_1),15;256;490;718;937;
(1016_562_1_2),137;378;612;834;
(1016_562_20_21),1133;1345;1467;1601;1720;1777;
(1016_562_21_22),1253;1557;
(1017_563_0_1),16;257;491;719;938;
(1017_563_1_2),138;379;613;835;
(1017_563_20_21),1134;1346;1468;1602;1721;
(1017_563_21_22),1254;
(1018_564_0_1),17;258;492;720;939;
(1018_564_1_2),139;380;614;836;1049;
(1018_564_20_21),1135;1469;1603;1722;
(1018_564_21_22),1255;1778;
(1019_565_0_1),18;259;493;721;940;
(1019_565_1_2),140;381;615;837;1050;
(1019_565_20_21),1136;1256;1470;1604;1723;
