agent_id, column_cost,served_pax_group,Path_node_sequence,path_time_sequence
1,12.000000,7;,1001;547;548;552;553;7;7;553;496;556;1010;,0;1;2;4;6;7;8;9;10;11;12;
2,10.000000,10;,1002;548;552;553;496;556;10;556;1010;,0;1;3;5;6;7;8;9;10;
3,13.000000,14;,1003;549;550;560;14;14;560;556;1010;,0;1;3;6;7;8;9;12;13;
4,14.000000,8;,1004;550;552;435;554;8;554;437;556;1010;,0;1;4;5;7;8;9;10;13;14;
5,15.000000,12;,1005;551;495;560;558;12;558;557;556;1010;,0;1;4;5;7;8;9;11;14;15;
6,11.000000,10;,1006;552;553;496;556;10;10;10;556;556;1010;,0;1;3;4;5;6;7;8;9;10;11;
7,16.000000,9;,1007;553;496;556;555;9;9;555;624;556;1010;,0;1;2;3;6;7;8;9;11;15;16;
8,17.000000,79;,1008;554;625;79;79;79;79;79;625;555;624;556;1010;,0;1;3;4;5;6;7;8;9;10;12;16;17;
9,13.000000,11;,1009;555;624;557;11;557;556;1010;,0;1;3;7;8;9;12;13;
10,18.000000,78;,1010;556;624;78;78;78;624;555;624;556;1010;,0;1;5;6;7;8;9;11;13;17;18;
11,19.000000,84;,1011;557;630;84;84;84;84;84;630;626;624;556;1010;,0;1;3;4;5;6;7;8;9;11;14;18;19;
12,14.000000,4;,1012;558;560;550;4;4;550;553;496;556;1010;,0;1;3;6;7;8;9;11;12;13;14;
13,15.000000,15;,1013;559;491;558;561;15;15;561;560;556;1010;,0;1;2;4;6;7;8;9;11;14;15;
14,20.000000,6;,1014;560;553;552;6;6;6;552;435;435;436;437;556;1010;,0;1;3;5;6;7;8;9;10;11;13;16;19;20;
15,16.000000,13;,1015;561;558;491;559;13;13;559;557;556;1010;,0;1;3;5;6;7;8;9;12;15;16;
16,21.000000,85;,1016;562;559;631;85;631;490;557;624;556;1010;,0;1;4;7;8;9;10;12;16;20;21;
17,17.000000,5;,1017;563;551;5;5;5;5;5;551;495;560;556;1010;,0;1;3;4;5;6;7;8;9;12;13;16;17;
18,22.000000,17;,1018;564;563;17;17;17;17;17;563;563;562;559;557;556;1010;,0;1;3;4;5;6;7;8;9;10;12;15;18;21;22;
19,18.000000,16;,1019;565;564;493;562;16;16;16;562;492;561;560;556;1010;,0;1;2;4;5;6;7;8;9;10;12;14;17;18;
20,23.000000,20;,1020;566;20;20;20;20;20;20;20;566;559;557;624;556;1010;,0;1;2;3;4;5;6;7;8;9;11;14;18;22;23;
21,19.000000,21;,1021;567;21;21;21;21;21;21;21;567;562;492;561;560;556;1010;,0;1;2;3;4;5;6;7;8;9;10;11;13;15;18;19;
22,24.000000,18;,1022;568;565;564;18;18;18;18;564;564;563;562;559;557;556;1010;,0;1;3;4;5;6;7;8;9;10;12;14;17;20;23;24;
23,25.000000,19;,1023;569;565;19;19;19;19;565;564;564;563;562;559;557;556;1010;,0;1;4;5;6;7;8;9;10;11;13;15;18;21;24;25;
24,20.000000,90;,1024;570;500;501;636;90;90;636;631;489;490;557;556;1010;,0;1;2;5;6;7;8;9;11;13;14;16;19;20;
