arc_id,agent_index
(1001_547_0_1),0;241;475;703;922;1789;2030;2264;2492;2711;3578;3819;4053;4281;4500;5367;5608;5842;6070;6289;7156;7397;7631;7859;8078;8945;9186;9420;9648;9867;10734;10975;11209;11437;11656;12523;12764;12998;13226;13445;14312;14553;14787;15015;15234;16101;16342;16576;16804;17023;
(1001_547_1_2),122;363;597;825;1040;1911;2152;2386;2614;2829;3700;3941;4175;4403;4618;5489;5730;5964;6192;6407;7278;7519;7753;7981;8196;9067;9308;9542;9770;9985;10856;11097;11331;11559;11774;12645;12886;13120;13348;13563;14434;14675;14909;15137;15352;16223;16464;16698;16926;17141;
(1001_547_20_21),1118;1330;1452;1586;1705;1772;2907;3119;3241;3375;3494;3561;4696;4908;5030;5164;5283;5350;6485;6697;6819;6953;7072;7139;8274;8486;8608;8742;8861;8928;10063;10275;10397;10531;10650;10717;11852;12064;12186;12320;12439;12506;13641;13853;13975;14109;14228;14295;15430;15642;15764;15898;16017;16084;17219;17431;17553;17687;17806;17873;
(1001_547_21_22),1238;1398;1542;3027;3187;3331;4816;4976;5120;6605;6765;6909;8394;8554;8698;10183;10343;10487;11972;12132;12276;13761;13921;14065;15550;15710;15854;17339;17499;17643;
(1002_548_0_1),1;242;476;704;923;1790;2031;2265;2493;2712;3579;3820;4054;4282;4501;5368;5609;5843;6071;6290;7157;7398;7632;7860;8079;8946;9187;9421;9649;9868;10735;10976;11210;11438;11657;12524;12765;12999;13227;13446;14313;14554;14788;15016;15235;16102;16343;16577;16805;17024;
(1002_548_1_2),123;364;598;826;1041;1912;2153;2387;2615;2830;3701;3942;4176;4404;4619;5490;5731;5965;6193;6408;7279;7520;7754;7982;8197;9068;9309;9543;9771;9986;10857;11098;11332;11560;11775;12646;12887;13121;13349;13564;14435;14676;14910;15138;15353;16224;16465;16699;16927;17142;
(1002_548_20_21),1119;1331;1453;1587;1706;2908;3120;3242;3376;3495;4697;4909;5031;5165;5284;6486;6698;6820;6954;7073;8275;8487;8609;8743;8862;10064;10276;10398;10532;10651;11853;12065;12187;12321;12440;13642;13854;13976;14110;14229;15431;15643;15765;15899;16018;17220;17432;17554;17688;17807;
(1002_548_21_22),1239;1399;1543;3028;3188;3332;4817;4977;5121;6606;6766;6910;8395;8555;8699;10184;10344;10488;11973;12133;12277;13762;13922;14066;15551;15711;15855;17340;17500;17644;
(1003_549_0_1),2;243;477;705;924;1791;2032;2266;2494;2713;3580;3821;4055;4283;4502;5369;5610;5844;6072;6291;7158;7399;7633;7861;8080;8947;9188;9422;9650;9869;10736;10977;11211;11439;11658;12525;12766;13000;13228;13447;14314;14555;14789;15017;15236;16103;16344;16578;16806;17025;
(1003_549_1_2),124;365;599;827;1042;1913;2154;2388;2616;2831;3702;3943;4177;4405;4620;5491;5732;5966;6194;6409;7280;7521;7755;7983;8198;9069;9310;9544;9772;9987;10858;11099;11333;11561;11776;12647;12888;13122;13350;13565;14436;14677;14911;15139;15354;16225;16466;16700;16928;17143;
