from_node,to_node,from_time,to_time,arc_capacity
1,1,5,6,350
1,1,6,7,350
1,1,7,8,350
1,547,8,9,350
10,10,6,7,350
10,10,7,8,350
10,556,8,9,350
100,100,6,7,350
100,100,7,8,350
100,646,8,9,350
1001,547,0,1,350
1001,547,1,2,350
1002,548,0,1,350
1002,548,1,2,350
1003,549,0,1,350
1003,549,1,2,350
1004,550,0,1,350
1004,550,1,2,350
1005,551,0,1,350
1005,551,1,2,350
1006,552,0,1,350
1006,552,1,2,350
1007,553,0,1,350
1007,553,1,2,350
1008,554,0,1,350
1008,554,1,2,350
1008,554,10,11,350
1009,555,0,1,350
1009,555,1,2,350
101,101,7,8,350
101,647,8,9,350
1010,556,0,1,350
1010,556,1,2,350
1011,557,0,1,350
1011,557,1,2,350
1012,558,0,1,350
1012,558,1,2,350
1013,559,0,1,350
1013,559,1,2,350
1014,560,0,1,350
1014,560,1,2,350
1015,561,0,1,350
1015,561,1,2,350
1016,562,0,1,350
1016,562,1,2,350
1017,563,0,1,350
1017,563,1,2,350
1018,564,0,1,350
1018,564,1,2,350
1019,565,0,1,350
1019,565,1,2,350
102,102,5,6,350
102,102,6,7,350
102,102,7,8,350
102,648,8,9,350
1020,566,0,1,350
1020,566,1,2,350
1021,567,0,1,350
1021,567,1,2,350
1022,568,0,1,350
1022,568,1,2,350
1023,569,0,1,350
1023,569,1,2,350
1024,570,0,1,350
1024,570,1,2,350
1025,571,0,1,350
1025,571,1,2,350
1026,572,0,1,350
1026,572,1,2,350
1027,573,0,1,350
1027,573,1,2,350
1028,574,0,1,350
1028,574,1,2,350
1029,575,0,1,350
1029,575,1,2,350
103,103,6,7,350
103,103,7,8,350
103,649,8,9,350
1030,576,0,1,350
1030,576,1,2,350
1031,577,0,1,350
1031,577,1,2,350
1032,578,0,1,350
1032,578,1,2,350
1033,579,0,1,350
1033,579,1,2,350
1034,580,0,1,350
1034,580,1,2,350
1035,581,0,1,350
1035,581,1,2,350
1036,582,0,1,350
1036,582,1,2,350
1037,583,0,1,350
1037,583,1,2,350
1038,584,0,1,350
1038,584,1,2,350
1039,585,0,1,350
1039,585,1,2,350
104,104,6,7,350
104,104,7,8,350
104,650,8,9,350
1040,586,0,1,350
1040,586,1,2,350
1041,587,0,1,350
1041,587,1,2,350
1042,588,0,1,350
1042,588,1,2,350
1043,589,0,1,350
1043,589,1,2,350
1044,590,0,1,350
1044,590,1,2,350
1045,591,0,1,350
1045,591,1,2,350
1046,592,0,1,350
1046,592,1,2,350
1047,593,0,1,350
1047,593,1,2,350
1048,594,0,1,350
1048,594,1,2,350
1049,595,0,1,350
1049,595,1,2,350
105,105,6,7,350
105,105,7,8,350
105,651,8,9,350
1050,596,0,1,350
1050,596,1,2,350
1051,597,0,1,350
1051,597,1,2,350
1052,598,0,1,350
1052,598,1,2,350
1053,599,0,1,350
1053,599,1,2,350
1054,600,0,1,350
1054,600,1,2,350
1055,601,0,1,350
1055,601,1,2,350
1056,602,0,1,350
1057,603,0,1,350
1057,603,1,2,350
1058,604,0,1,350
1058,604,1,2,350
1059,605,0,1,350
1059,605,1,2,350
106,106,5,6,350
106,106,6,7,350
106,106,7,8,350
