pax_id,agent_index
1,73;191;1862;1980;3651;3769;5440;5558;7229;7347;9018;9136;10807;10925;12596;12714;14385;14503;16174;16292;
2,51;123;1840;1912;3629;3701;5418;5490;7207;7279;8996;9068;10785;10857;12574;12646;14363;14435;16152;16224;
3,71;135;1860;1924;3649;3713;5438;5502;7227;7291;9016;9080;10805;10869;12594;12658;14383;14447;16172;16236;
4,11;133;1800;1922;3589;3711;5378;5500;7167;7289;8956;9078;10745;10867;12534;12656;14323;14445;16112;16234;
5,16;136;1805;1925;3594;3714;5383;5503;7172;7292;8961;9081;10750;10870;12539;12659;14328;14448;16117;16237;
6,13;69;1802;1858;3591;3647;5380;5436;7169;7225;8958;9014;10747;10803;12536;12592;14325;14381;16114;16170;
7,0;72;128;1789;1861;1917;3578;3650;3706;5367;5439;5495;7156;7228;7284;8945;9017;9073;10734;10806;10862;12523;12595;12651;14312;14384;14440;16101;16173;16229;
8,3;65;187;1792;1854;1976;3581;3643;3765;5370;5432;5554;7159;7221;7343;8948;9010;9132;10737;10799;10921;12526;12588;12710;14315;14377;14499;16104;16166;16288;
9,6;67;197;1795;1856;1986;3584;3645;3775;5373;5434;5564;7162;7223;7353;8951;9012;9142;10740;10801;10931;12529;12590;12720;14318;14379;14509;16107;16168;16298;
10,1;5;75;125;199;1790;1794;1864;1914;1988;3579;3583;3653;3703;3777;5368;5372;5442;5492;5566;7157;7161;7231;7281;7355;8946;8950;9020;9070;9144;10735;10739;10809;10859;10933;12524;12528;12598;12648;12722;14313;14317;14387;14437;14511;16102;16106;16176;16226;16300;
11,8;79;200;1797;1868;1989;3586;3657;3778;5375;5446;5567;7164;7235;7356;8953;9024;9145;10742;10813;10934;12531;12602;12723;14320;14391;14512;16109;16180;16301;
12,4;84;1793;1873;3582;3662;5371;5451;7160;7240;8949;9029;10738;10818;12527;12607;14316;14396;16105;16185;
13,14;132;208;1803;1921;1997;3592;3710;3786;5381;5499;5575;7170;7288;7364;8959;9077;9153;10748;10866;10942;12537;12655;12731;14326;14444;14520;16115;16233;16309;
14,2;83;1791;1872;3580;3661;5369;5450;7158;7239;8947;9028;10736;10817;12525;12606;14314;14395;16103;16184;
15,12;126;1801;1915;3590;3704;5379;5493;7168;7282;8957;9071;10746;10860;12535;12649;14324;14438;16113;16227;
16,18;134;1807;1923;3596;3712;5385;5501;7174;7290;8963;9079;10752;10868;12541;12657;14330;14446;16119;16235;
17,17;124;1806;1913;3595;3702;5384;5491;7173;7280;8962;9069;10751;10858;12540;12647;14329;14436;16118;16225;
18,21;137;1810;1926;3599;3715;5388;5504;7177;7293;8966;9082;10755;10871;12544;12660;14333;14449;16122;16238;
19,22;139;1811;1928;3600;3717;5389;5506;7178;7295;8967;9084;10756;10873;12545;12662;14334;14451;16123;16240;
20,19;141;1808;1930;3597;3719;5386;5508;7175;7297;8964;9086;10753;10875;12542;12664;14331;14453;16120;16242;
21,20;138;1809;1927;3598;3716;5387;5505;7176;7294;8965;9083;10754;10872;12543;12661;14332;14450;16121;16239;
22,27;140;1816;1929;3605;3718;5394;5507;7183;7296;8972;9085;10761;10874;12550;12663;14339;14452;16128;16241;
23,26;142;1815;1931;3604;3720;5393;5509;7182;7298;8971;9087;10760;10876;12549;12665;14338;14454;16127;16243;
24,25;144;1814;1933;3603;3722;5392;5511;7181;7300;8970;9089;10759;10878;12548;12667;14337;14456;16126;16245;
25,29;146;1818;1935;3607;3724;5396;5513;7185;7302;8974;9091;10763;10880;12552;12669;14341;14458;16130;16247;
26,28;147;1817;1936;3606;3725;5395;5514;7184;7303;8973;9092;10762;10881;12551;12670;14340;14459;16129;16248;
