pax_id,agent_index
1,73;191;1862;1980;3651;3769;5440;5558;7229;7347;9018;9136;10807;10925;12596;12714;14385;14503;16174;16292;17963;18081;19752;19870;21541;21659;23330;23448;25119;25237;26908;27026;28697;28815;30486;30604;32275;32393;34064;34182;35853;35971;37642;37760;39431;39549;41220;41338;43009;43127;44798;44916;46587;46705;48376;48494;50165;50283;51954;52072;53743;53861;55532;55650;57321;57439;59110;59228;60899;61017;62688;62806;64477;64595;66266;66384;68055;68173;69844;69962;71633;71751;73422;73540;75211;75329;77000;77118;78789;78907;80578;80696;82367;82485;84156;84274;85945;86063;87734;87852;89523;89641;91312;91430;93101;93219;94890;95008;96679;96797;98468;98586;100257;100375;102046;102164;103835;103953;105624;105742;107413;107531;109202;109320;110991;111109;112780;112898;114569;114687;116358;116476;118147;118265;119936;120054;121725;121843;123514;123632;125303;125421;127092;127210;128881;128999;130670;130788;132459;132577;134248;134366;136037;136155;137826;137944;139615;139733;141404;141522;143193;143311;144982;145100;146771;146889;148560;148678;150349;150467;152138;152256;153927;154045;155716;155834;157505;157623;159294;159412;161083;161201;162872;162990;164661;164779;166450;166568;168239;168357;170028;170146;171817;171935;173606;173724;175395;175513;177184;177302;
2,51;123;1840;1912;3629;3701;5418;5490;7207;7279;8996;9068;10785;10857;12574;12646;14363;14435;16152;16224;17941;18013;19730;19802;21519;21591;23308;23380;25097;25169;26886;26958;28675;28747;30464;30536;32253;32325;34042;34114;35831;35903;37620;37692;39409;39481;41198;41270;42987;43059;44776;44848;46565;46637;48354;48426;50143;50215;51932;52004;53721;53793;55510;55582;57299;57371;59088;59160;60877;60949;62666;62738;64455;64527;66244;66316;68033;68105;69822;69894;71611;71683;73400;73472;75189;75261;76978;77050;78767;78839;80556;80628;82345;82417;84134;84206;85923;85995;87712;87784;89501;89573;91290;91362;93079;93151;94868;94940;96657;96729;98446;98518;100235;100307;102024;102096;103813;103885;105602;105674;107391;107463;109180;109252;110969;111041;112758;112830;114547;114619;116336;116408;118125;118197;119914;119986;121703;121775;123492;123564;125281;125353;127070;127142;128859;128931;130648;130720;132437;132509;134226;134298;136015;136087;137804;137876;139593;139665;141382;141454;143171;143243;144960;145032;146749;146821;148538;148610;150327;150399;152116;152188;153905;153977;155694;155766;157483;157555;159272;159344;161061;161133;162850;162922;164639;164711;166428;166500;168217;168289;170006;170078;171795;171867;173584;173656;175373;175445;177162;177234;
3,71;135;1860;1924;3649;3713;5438;5502;7227;7291;9016;9080;10805;10869;12594;12658;14383;14447;16172;16236;17961;18025;19750;19814;21539;21603;23328;23392;25117;25181;26906;26970;28695;28759;30484;30548;32273;32337;34062;34126;35851;35915;37640;37704;39429;39493;41218;41282;43007;43071;44796;44860;46585;46649;48374;48438;50163;50227;51952;52016;53741;53805;55530;55594;57319;57383;59108;59172;60897;60961;62686;62750;64475;64539;66264;66328;68053;68117;69842;69906;71631;71695;73420;73484;75209;75273;76998;77062;78787;78851;80576;80640;82365;82429;84154;84218;85943;86007;87732;87796;89521;89585;91310;91374;93099;93163;94888;94952;96677;96741;98466;98530;100255;100319;102044;102108;103833;103897;105622;105686;107411;107475;109200;109264;110989;111053;112778;112842;114567;114631;116356;116420;118145;118209;119934;119998;121723;121787;123512;123576;125301;125365;127090;127154;128879;128943;130668;130732;132457;132521;134246;134310;136035;136099;137824;137888;139613;139677;141402;141466;143191;143255;144980;145044;146769;146833;148558;148622;150347;150411;152136;152200;153925;153989;155714;155778;157503;157567;159292;159356;161081;161145;162870;162934;164659;164723;166448;166512;168237;168301;170026;170090;171815;171879;173604;173668;175393;175457;177182;177246;
4,11;133;1800;1922;3589;3711;5378;5500;7167;7289;8956;9078;10745;10867;12534;12656;14323;14445;16112;16234;17901;18023;19690;19812;21479;21601;23268;23390;25057;25179;26846;26968;28635;28757;30424;30546;32213;32335;34002;34124;35791;35913;37580;37702;39369;39491;41158;41280;42947;43069;44736;44858;46525;46647;48314;48436;50103;50225;51892;52014;53681;53803;55470;55592;57259;57381;59048;59170;60837;60959;62626;62748;64415;64537;66204;66326;67993;68115;69782;69904;71571;71693;73360;73482;75149;75271;76938;77060;78727;78849;80516;80638;82305;82427;84094;84216;85883;86005;87672;87794;89461;89583;91250;91372;93039;93161;94828;94950;96617;96739;98406;98528;100195;100317;101984;102106;103773;103895;105562;105684;107351;107473;109140;109262;110929;111051;112718;112840;114507;114629;116296;116418;118085;118207;119874;119996;121663;121785;123452;123574;125241;125363;127030;127152;128819;128941;130608;130730;132397;132519;134186;134308;135975;136097;137764;137886;139553;139675;141342;141464;143131;143253;144920;145042;146709;146831;148498;148620;150287;150409;152076;152198;153865;153987;155654;155776;157443;157565;159232;159354;161021;161143;162810;162932;164599;164721;166388;166510;168177;168299;169966;170088;171755;171877;173544;173666;175333;175455;177122;177244;
5,16;136;1805;1925;3594;3714;5383;5503;7172;7292;8961;9081;10750;10870;12539;12659;14328;14448;16117;16237;17906;18026;19695;19815;21484;21604;23273;23393;25062;25182;26851;26971;28640;28760;30429;30549;32218;32338;34007;34127;35796;35916;37585;37705;39374;39494;41163;41283;42952;43072;44741;44861;46530;46650;48319;48439;50108;50228;51897;52017;53686;53806;55475;55595;57264;57384;59053;59173;60842;60962;62631;62751;64420;64540;66209;66329;67998;68118;69787;69907;71576;71696;73365;73485;75154;75274;76943;77063;78732;78852;80521;80641;82310;82430;84099;84219;85888;86008;87677;87797;89466;89586;91255;91375;93044;93164;94833;94953;96622;96742;98411;98531;100200;100320;101989;102109;103778;103898;105567;105687;107356;107476;109145;109265;110934;111054;112723;112843;114512;114632;116301;116421;118090;118210;119879;119999;121668;121788;123457;123577;125246;125366;127035;127155;128824;128944;130613;130733;132402;132522;134191;134311;135980;136100;137769;137889;139558;139678;141347;141467;143136;143256;144925;145045;146714;146834;148503;148623;150292;150412;152081;152201;153870;153990;155659;155779;157448;157568;159237;159357;161026;161146;162815;162935;164604;164724;166393;166513;168182;168302;169971;170091;171760;171880;173549;173669;175338;175458;177127;177247;
6,13;69;1802;1858;3591;3647;5380;5436;7169;7225;8958;9014;10747;10803;12536;12592;14325;14381;16114;16170;17903;17959;19692;19748;21481;21537;23270;23326;25059;25115;26848;26904;28637;28693;30426;30482;32215;32271;34004;34060;35793;35849;37582;37638;39371;39427;41160;41216;42949;43005;44738;44794;46527;46583;48316;48372;50105;50161;51894;51950;53683;53739;55472;55528;57261;57317;59050;59106;60839;60895;62628;62684;64417;64473;66206;66262;67995;68051;69784;69840;71573;71629;73362;73418;75151;75207;76940;76996;78729;78785;80518;80574;82307;82363;84096;84152;85885;85941;87674;87730;89463;89519;91252;91308;93041;93097;94830;94886;96619;96675;98408;98464;100197;100253;101986;102042;103775;103831;105564;105620;107353;107409;109142;109198;110931;110987;112720;112776;114509;114565;116298;116354;118087;118143;119876;119932;121665;121721;123454;123510;125243;125299;127032;127088;128821;128877;130610;130666;132399;132455;134188;134244;135977;136033;137766;137822;139555;139611;141344;141400;143133;143189;144922;144978;146711;146767;148500;148556;150289;150345;152078;152134;153867;153923;155656;155712;157445;157501;159234;159290;161023;161079;162812;162868;164601;164657;166390;166446;168179;168235;169968;170024;171757;171813;173546;173602;175335;175391;177124;177180;
7,0;72;128;1789;1861;1917;3578;3650;3706;5367;5439;5495;7156;7228;7284;8945;9017;9073;10734;10806;10862;12523;12595;12651;14312;14384;14440;16101;16173;16229;17890;17962;18018;19679;19751;19807;21468;21540;21596;23257;23329;23385;25046;25118;25174;26835;26907;26963;28624;28696;28752;30413;30485;30541;32202;32274;32330;33991;34063;34119;35780;35852;35908;37569;37641;37697;39358;39430;39486;41147;41219;41275;42936;43008;43064;44725;44797;44853;46514;46586;46642;48303;48375;48431;50092;50164;50220;51881;51953;52009;53670;53742;53798;55459;55531;55587;57248;57320;57376;59037;59109;59165;60826;60898;60954;62615;62687;62743;64404;64476;64532;66193;66265;66321;67982;68054;68110;69771;69843;69899;71560;71632;71688;73349;73421;73477;75138;75210;75266;76927;76999;77055;78716;78788;78844;80505;80577;80633;82294;82366;82422;84083;84155;84211;85872;85944;86000;87661;87733;87789;89450;89522;89578;91239;91311;91367;93028;93100;93156;94817;94889;94945;96606;96678;96734;98395;98467;98523;100184;100256;100312;101973;102045;102101;103762;103834;103890;105551;105623;105679;107340;107412;107468;109129;109201;109257;110918;110990;111046;112707;112779;112835;114496;114568;114624;116285;116357;116413;118074;118146;118202;119863;119935;119991;121652;121724;121780;123441;123513;123569;125230;125302;125358;127019;127091;127147;128808;128880;128936;130597;130669;130725;132386;132458;132514;134175;134247;134303;135964;136036;136092;137753;137825;137881;139542;139614;139670;141331;141403;141459;143120;143192;143248;144909;144981;145037;146698;146770;146826;148487;148559;148615;150276;150348;150404;152065;152137;152193;153854;153926;153982;155643;155715;155771;157432;157504;157560;159221;159293;159349;161010;161082;161138;162799;162871;162927;164588;164660;164716;166377;166449;166505;168166;168238;168294;169955;170027;170083;171744;171816;171872;173533;173605;173661;175322;175394;175450;177111;177183;177239;
8,3;65;187;1792;1854;1976;3581;3643;3765;5370;5432;5554;7159;7221;7343;8948;9010;9132;10737;10799;10921;12526;12588;12710;14315;14377;14499;16104;16166;16288;17893;17955;18077;19682;19744;19866;21471;21533;21655;23260;23322;23444;25049;25111;25233;26838;26900;27022;28627;28689;28811;30416;30478;30600;32205;32267;32389;33994;34056;34178;35783;35845;35967;37572;37634;37756;39361;39423;39545;41150;41212;41334;42939;43001;43123;44728;44790;44912;46517;46579;46701;48306;48368;48490;50095;50157;50279;51884;51946;52068;53673;53735;53857;55462;55524;55646;57251;57313;57435;59040;59102;59224;60829;60891;61013;62618;62680;62802;64407;64469;64591;66196;66258;66380;67985;68047;68169;69774;69836;69958;71563;71625;71747;73352;73414;73536;75141;75203;75325;76930;76992;77114;78719;78781;78903;80508;80570;80692;82297;82359;82481;84086;84148;84270;85875;85937;86059;87664;87726;87848;89453;89515;89637;91242;91304;91426;93031;93093;93215;94820;94882;95004;96609;96671;96793;98398;98460;98582;100187;100249;100371;101976;102038;102160;103765;103827;103949;105554;105616;105738;107343;107405;107527;109132;109194;109316;110921;110983;111105;112710;112772;112894;114499;114561;114683;116288;116350;116472;118077;118139;118261;119866;119928;120050;121655;121717;121839;123444;123506;123628;125233;125295;125417;127022;127084;127206;128811;128873;128995;130600;130662;130784;132389;132451;132573;134178;134240;134362;135967;136029;136151;137756;137818;137940;139545;139607;139729;141334;141396;141518;143123;143185;143307;144912;144974;145096;146701;146763;146885;148490;148552;148674;150279;150341;150463;152068;152130;152252;153857;153919;154041;155646;155708;155830;157435;157497;157619;159224;159286;159408;161013;161075;161197;162802;162864;162986;164591;164653;164775;166380;166442;166564;168169;168231;168353;169958;170020;170142;171747;171809;171931;173536;173598;173720;175325;175387;175509;177114;177176;177298;
9,6;67;197;1795;1856;1986;3584;3645;3775;5373;5434;5564;7162;7223;7353;8951;9012;9142;10740;10801;10931;12529;12590;12720;14318;14379;14509;16107;16168;16298;17896;17957;18087;19685;19746;19876;21474;21535;21665;23263;23324;23454;25052;25113;25243;26841;26902;27032;28630;28691;28821;30419;30480;30610;32208;32269;32399;33997;34058;34188;35786;35847;35977;37575;37636;37766;39364;39425;39555;41153;41214;41344;42942;43003;43133;44731;44792;44922;46520;46581;46711;48309;48370;48500;50098;50159;50289;51887;51948;52078;53676;53737;53867;55465;55526;55656;57254;57315;57445;59043;59104;59234;60832;60893;61023;62621;62682;62812;64410;64471;64601;66199;66260;66390;67988;68049;68179;69777;69838;69968;71566;71627;71757;73355;73416;73546;75144;75205;75335;76933;76994;77124;78722;78783;78913;80511;80572;80702;82300;82361;82491;84089;84150;84280;85878;85939;86069;87667;87728;87858;89456;89517;89647;91245;91306;91436;93034;93095;93225;94823;94884;95014;96612;96673;96803;98401;98462;98592;100190;100251;100381;101979;102040;102170;103768;103829;103959;105557;105618;105748;107346;107407;107537;109135;109196;109326;110924;110985;111115;112713;112774;112904;114502;114563;114693;116291;116352;116482;118080;118141;118271;119869;119930;120060;121658;121719;121849;123447;123508;123638;125236;125297;125427;127025;127086;127216;128814;128875;129005;130603;130664;130794;132392;132453;132583;134181;134242;134372;135970;136031;136161;137759;137820;137950;139548;139609;139739;141337;141398;141528;143126;143187;143317;144915;144976;145106;146704;146765;146895;148493;148554;148684;150282;150343;150473;152071;152132;152262;153860;153921;154051;155649;155710;155840;157438;157499;157629;159227;159288;159418;161016;161077;161207;162805;162866;162996;164594;164655;164785;166383;166444;166574;168172;168233;168363;169961;170022;170152;171750;171811;171941;173539;173600;173730;175328;175389;175519;177117;177178;177308;
10,1;5;75;125;199;1790;1794;1864;1914;1988;3579;3583;3653;3703;3777;5368;5372;5442;5492;5566;7157;7161;7231;7281;7355;8946;8950;9020;9070;9144;10735;10739;10809;10859;10933;12524;12528;12598;12648;12722;14313;14317;14387;14437;14511;16102;16106;16176;16226;16300;17891;17895;17965;18015;18089;19680;19684;19754;19804;19878;21469;21473;21543;21593;21667;23258;23262;23332;23382;23456;25047;25051;25121;25171;25245;26836;26840;26910;26960;27034;28625;28629;28699;28749;28823;30414;30418;30488;30538;30612;32203;32207;32277;32327;32401;33992;33996;34066;34116;34190;35781;35785;35855;35905;35979;37570;37574;37644;37694;37768;39359;39363;39433;39483;39557;41148;41152;41222;41272;41346;42937;42941;43011;43061;43135;44726;44730;44800;44850;44924;46515;46519;46589;46639;46713;48304;48308;48378;48428;48502;50093;50097;50167;50217;50291;51882;51886;51956;52006;52080;53671;53675;53745;53795;53869;55460;55464;55534;55584;55658;57249;57253;57323;57373;57447;59038;59042;59112;59162;59236;60827;60831;60901;60951;61025;62616;62620;62690;62740;62814;64405;64409;64479;64529;64603;66194;66198;66268;66318;66392;67983;67987;68057;68107;68181;69772;69776;69846;69896;69970;71561;71565;71635;71685;71759;73350;73354;73424;73474;73548;75139;75143;75213;75263;75337;76928;76932;77002;77052;77126;78717;78721;78791;78841;78915;80506;80510;80580;80630;80704;82295;82299;82369;82419;82493;84084;84088;84158;84208;84282;85873;85877;85947;85997;86071;87662;87666;87736;87786;87860;89451;89455;89525;89575;89649;91240;91244;91314;91364;91438;93029;93033;93103;93153;93227;94818;94822;94892;94942;95016;96607;96611;96681;96731;96805;98396;98400;98470;98520;98594;100185;100189;100259;100309;100383;101974;101978;102048;102098;102172;103763;103767;103837;103887;103961;105552;105556;105626;105676;105750;107341;107345;107415;107465;107539;109130;109134;109204;109254;109328;110919;110923;110993;111043;111117;112708;112712;112782;112832;112906;114497;114501;114571;114621;114695;116286;116290;116360;116410;116484;118075;118079;118149;118199;118273;119864;119868;119938;119988;120062;121653;121657;121727;121777;121851;123442;123446;123516;123566;123640;125231;125235;125305;125355;125429;127020;127024;127094;127144;127218;128809;128813;128883;128933;129007;130598;130602;130672;130722;130796;132387;132391;132461;132511;132585;134176;134180;134250;134300;134374;135965;135969;136039;136089;136163;137754;137758;137828;137878;137952;139543;139547;139617;139667;139741;141332;141336;141406;141456;141530;143121;143125;143195;143245;143319;144910;144914;144984;145034;145108;146699;146703;146773;146823;146897;148488;148492;148562;148612;148686;150277;150281;150351;150401;150475;152066;152070;152140;152190;152264;153855;153859;153929;153979;154053;155644;155648;155718;155768;155842;157433;157437;157507;157557;157631;159222;159226;159296;159346;159420;161011;161015;161085;161135;161209;162800;162804;162874;162924;162998;164589;164593;164663;164713;164787;166378;166382;166452;166502;166576;168167;168171;168241;168291;168365;169956;169960;170030;170080;170154;171745;171749;171819;171869;171943;173534;173538;173608;173658;173732;175323;175327;175397;175447;175521;177112;177116;177186;177236;177310;
